objectid,event_dow,event_type,apprehension_made,hood_158_loc
59,Thursday,Person in Crisis,No,154
60,Thursday,Person in Crisis,No,50
61,Thursday,Suicide-related,No,122
62,Thursday,Person in Crisis,Yes,20
63,Thursday,Suicide-related,No,122
64,Thursday,Person in Crisis,Yes,81
65,Thursday,Person in Crisis,Yes,98
66,Thursday,Person in Crisis,No,170
67,Thursday,Person in Crisis,No,122
68,Thursday,Suicide-related,No,113
69,Thursday,Person in Crisis,Yes,78
70,Thursday,Suicide-related,Yes,166
71,Thursday,Person in Crisis,No,63
72,Thursday,Person in Crisis,No,32
73,Thursday,Suicide-related,No,118
74,Thursday,Suicide-related,Yes,170
75,Thursday,Person in Crisis,No,8
76,Thursday,Person in Crisis,No,123
77,Thursday,Suicide-related,No,61
78,Thursday,Person in Crisis,No,70
79,Thursday,Person in Crisis,No,85
80,Thursday,Suicide-related,Yes,120
81,Thursday,Person in Crisis,Yes,85
82,Thursday,Person in Crisis,No,108
83,Thursday,Suicide-related,Yes,155
84,Thursday,Person in Crisis,No,166
85,Thursday,Suicide-related,No,1
86,Thursday,Person in Crisis,No,68
87,Thursday,Person in Crisis,No,88
88,Thursday,Overdose,No,69
89,Thursday,Person in Crisis,No,126
90,Thursday,Person in Crisis,No,63
91,Thursday,Suicide-related,No,16
92,Thursday,Person in Crisis,No,170
93,Thursday,Overdose,No,86
94,Thursday,Person in Crisis,No,169
95,Thursday,Person in Crisis,Yes,122
96,Thursday,Suicide-related,Yes,129
97,Thursday,Suicide-related,No,90
98,Thursday,Suicide-related,No,57
99,Thursday,Person in Crisis,Yes,126
100,Thursday,Suicide-related,Yes,16
101,Thursday,Person in Crisis,No,122
102,Friday,Person in Crisis,Yes,89
103,Friday,Person in Crisis,No,169
104,Friday,Person in Crisis,No,68
105,Friday,Person in Crisis,No,163
106,Friday,Suicide-related,No,159
107,Friday,Person in Crisis,No,129
108,Friday,Suicide-related,No,73
109,Friday,Person in Crisis,No,2
110,Friday,Suicide-related,No,87
111,Friday,Suicide-related,No,166
112,Friday,Suicide-related,No,171
113,Friday,Person in Crisis,No,154
114,Friday,Person in Crisis,No,83
115,Friday,Suicide-related,No,39
116,Friday,Person in Crisis,No,120
117,Friday,Person in Crisis,No,85
118,Friday,Suicide-related,No,80
119,Friday,Suicide-related,No,113
120,Friday,Person in Crisis,No,151
121,Friday,Person in Crisis,No,78
122,Friday,Suicide-related,No,170
123,Friday,Person in Crisis,Yes,1
124,Friday,Person in Crisis,Yes,35
125,Friday,Suicide-related,Yes,57
126,Friday,Person in Crisis,No,71
127,Friday,Person in Crisis,No,25
128,Friday,Person in Crisis,Yes,100
129,Friday,Person in Crisis,No,37
130,Friday,Person in Crisis,No,54
131,Friday,Suicide-related,No,174
132,Friday,Person in Crisis,No,85
133,Friday,Suicide-related,No,174
134,Friday,Suicide-related,No,136
135,Friday,Person in Crisis,Yes,99
136,Friday,Person in Crisis,No,30
137,Friday,Person in Crisis,Yes,164
138,Friday,Person in Crisis,Yes,70
139,Friday,Person in Crisis,No,36
140,Friday,Person in Crisis,No,2
141,Friday,Person in Crisis,No,95
142,Friday,Person in Crisis,Yes,167
143,Friday,Suicide-related,No,164
144,Friday,Person in Crisis,Yes,46
145,Friday,Suicide-related,No,1
146,Saturday,Suicide-related,No,74
147,Saturday,Suicide-related,No,172
148,Saturday,Suicide-related,No,122
149,Saturday,Suicide-related,Yes,118
150,Saturday,Person in Crisis,No,167
151,Saturday,Person in Crisis,No,88
152,Saturday,Person in Crisis,Yes,159
153,Saturday,Suicide-related,No,53
154,Saturday,Person in Crisis,No,73
155,Saturday,Person in Crisis,No,84
156,Saturday,Person in Crisis,Yes,170
157,Saturday,Suicide-related,Yes,170
158,Saturday,Person in Crisis,No,73
159,Saturday,Person in Crisis,Yes,73
160,Saturday,Person in Crisis,No,68
161,Saturday,Suicide-related,No,27
162,Saturday,Person in Crisis,Yes,170
163,Saturday,Person in Crisis,No,97
164,Saturday,Suicide-related,No,174
165,Saturday,Person in Crisis,Yes,64
166,Saturday,Suicide-related,No,170
167,Saturday,Suicide-related,No,43
168,Saturday,Person in Crisis,No,121
169,Saturday,Person in Crisis,No,40
170,Saturday,Person in Crisis,No,62
171,Saturday,Person in Crisis,Yes,167
172,Saturday,Person in Crisis,No,88
173,Saturday,Suicide-related,Yes,140
174,Saturday,Person in Crisis,No,139
175,Saturday,Overdose,Yes,139
176,Saturday,Person in Crisis,No,8
177,Saturday,Person in Crisis,No,74
178,Saturday,Person in Crisis,No,35
179,Saturday,Person in Crisis,Yes,160
180,Saturday,Person in Crisis,No,135
181,Saturday,Suicide-related,No,89
182,Saturday,Person in Crisis,No,124
183,Saturday,Suicide-related,No,22
184,Saturday,Person in Crisis,No,43
185,Saturday,Suicide-related,No,155
186,Saturday,Person in Crisis,Yes,85
187,Saturday,Person in Crisis,No,71
188,Saturday,Overdose,No,53
189,Saturday,Suicide-related,Yes,134
190,Saturday,Person in Crisis,Yes,122
191,Saturday,Person in Crisis,No,85
192,Saturday,Person in Crisis,No,122
193,Saturday,Person in Crisis,No,59
194,Sunday,Person in Crisis,No,5
195,Sunday,Person in Crisis,No,167
196,Sunday,Person in Crisis,Yes,164
197,Sunday,Person in Crisis,No,25
198,Sunday,Overdose,No,27
199,Sunday,Person in Crisis,No,11
200,Sunday,Person in Crisis,No,136
201,Sunday,Suicide-related,Yes,124
202,Sunday,Suicide-related,No,142
203,Sunday,Person in Crisis,No,84
204,Sunday,Person in Crisis,No,164
205,Sunday,Person in Crisis,No,159
206,Sunday,Suicide-related,No,90
207,Sunday,Person in Crisis,No,84
208,Sunday,Suicide-related,Yes,66
209,Sunday,Person in Crisis,No,85
210,Sunday,Person in Crisis,No,73
211,Sunday,Overdose,No,106
212,Sunday,Person in Crisis,No,129
213,Sunday,Person in Crisis,No,118
214,Sunday,Suicide-related,No,22
215,Sunday,Person in Crisis,No,122
216,Sunday,Person in Crisis,No,163
217,Sunday,Suicide-related,Yes,35
218,Sunday,Suicide-related,No,97
219,Sunday,Overdose,No,18
220,Sunday,Overdose,No,1
221,Sunday,Person in Crisis,No,162
222,Sunday,Overdose,No,71
223,Sunday,Suicide-related,No,95
224,Sunday,Person in Crisis,No,159
225,Sunday,Person in Crisis,No,129
226,Sunday,Person in Crisis,No,70
227,Sunday,Person in Crisis,No,73
228,Sunday,Person in Crisis,Yes,159
229,Sunday,Person in Crisis,No,41
230,Sunday,Person in Crisis,No,47
231,Sunday,Person in Crisis,Yes,68
232,Sunday,Suicide-related,No,79
233,Monday,Person in Crisis,Yes,103
234,Monday,Person in Crisis,No,78
235,Monday,Person in Crisis,No,5
236,Monday,Person in Crisis,No,11
237,Monday,Person in Crisis,Yes,135
238,Monday,Overdose,No,171
239,Monday,Person in Crisis,No,110
240,Monday,Overdose,No,70
241,Monday,Suicide-related,No,136
242,Monday,Person in Crisis,No,105
243,Monday,Person in Crisis,No,126
244,Monday,Person in Crisis,No,167
245,Monday,Person in Crisis,No,52
246,Monday,Person in Crisis,No,136
247,Monday,Person in Crisis,No,43
248,Monday,Person in Crisis,No,107
249,Monday,Person in Crisis,Yes,78
250,Monday,Person in Crisis,No,55
251,Monday,Person in Crisis,Yes,168
252,Monday,Suicide-related,Yes,135
253,Monday,Person in Crisis,Yes,68
254,Monday,Overdose,No,1
255,Monday,Person in Crisis,No,119
256,Monday,Person in Crisis,No,170
257,Monday,Person in Crisis,No,36
258,Monday,Suicide-related,No,27
259,Monday,Suicide-related,No,113
260,Monday,Person in Crisis,No,62
261,Monday,Person in Crisis,No,111
262,Monday,Suicide-related,No,90
263,Monday,Person in Crisis,No,63
264,Monday,Overdose,No,170
265,Monday,Suicide-related,No,168
266,Monday,Person in Crisis,No,94
267,Monday,Person in Crisis,Yes,162
268,Monday,Suicide-related,No,79
269,Monday,Person in Crisis,No,62
270,Monday,Suicide-related,No,6
271,Monday,Person in Crisis,No,5
272,Monday,Suicide-related,No,70
273,Monday,Overdose,Yes,7
274,Monday,Person in Crisis,No,136
275,Monday,Person in Crisis,Yes,8
276,Monday,Person in Crisis,No,164
277,Monday,Person in Crisis,No,78
278,Monday,Person in Crisis,No,125
279,Monday,Person in Crisis,No,163
280,Monday,Suicide-related,No,98
281,Monday,Suicide-related,No,84
282,Monday,Person in Crisis,Yes,170
283,Monday,Suicide-related,No,5
284,Monday,Suicide-related,No,10
285,Monday,Suicide-related,No,167
286,Monday,Suicide-related,No,78
287,Monday,Overdose,No,31
288,Monday,Person in Crisis,No,119
289,Monday,Suicide-related,No,6
290,Monday,Person in Crisis,No,168
291,Monday,Suicide-related,Yes,42
292,Monday,Person in Crisis,No,139
293,Monday,Suicide-related,Yes,81
294,Monday,Suicide-related,Yes,96
295,Monday,Suicide-related,No,136
296,Monday,Suicide-related,No,85
297,Monday,Suicide-related,No,5
298,Monday,Person in Crisis,No,78
299,Monday,Person in Crisis,Yes,122
300,Monday,Person in Crisis,No,44
301,Monday,Person in Crisis,No,65
302,Monday,Person in Crisis,No,168
303,Monday,Suicide-related,No,87
304,Monday,Suicide-related,No,155
305,Monday,Person in Crisis,No,170
306,Tuesday,Person in Crisis,No,118
307,Tuesday,Suicide-related,No,146
308,Tuesday,Suicide-related,No,73
309,Tuesday,Suicide-related,No,109
310,Tuesday,Person in Crisis,No,106
311,Tuesday,Person in Crisis,No,89
312,Tuesday,Suicide-related,Yes,107
313,Tuesday,Suicide-related,Yes,79
314,Tuesday,Person in Crisis,Yes,79
315,Tuesday,Overdose,No,124
316,Tuesday,Person in Crisis,No,107
317,Tuesday,Person in Crisis,Yes,159
318,Tuesday,Person in Crisis,No,73
319,Tuesday,Person in Crisis,No,61
320,Tuesday,Suicide-related,No,74
321,Tuesday,Suicide-related,No,95
322,Tuesday,Suicide-related,Yes,35
323,Tuesday,Suicide-related,No,135
324,Tuesday,Person in Crisis,No,61
325,Tuesday,Person in Crisis,Yes,158
326,Tuesday,Suicide-related,No,70
327,Tuesday,Person in Crisis,No,169
328,Tuesday,Person in Crisis,No,124
329,Tuesday,Suicide-related,No,87
330,Tuesday,Suicide-related,No,135
331,Tuesday,Person in Crisis,No,170
332,Tuesday,Person in Crisis,No,78
333,Tuesday,Person in Crisis,No,130
334,Tuesday,Person in Crisis,No,35
335,Tuesday,Person in Crisis,No,90
336,Tuesday,Person in Crisis,No,25
337,Tuesday,Person in Crisis,No,1
338,Tuesday,Suicide-related,No,105
339,Tuesday,Person in Crisis,Yes,129
340,Tuesday,Person in Crisis,No,168
341,Tuesday,Person in Crisis,No,102
342,Tuesday,Suicide-related,No,81
343,Tuesday,Suicide-related,No,24
344,Tuesday,Person in Crisis,No,95
345,Tuesday,Person in Crisis,Yes,44
346,Tuesday,Suicide-related,Yes,95
347,Tuesday,Person in Crisis,Yes,168
348,Tuesday,Person in Crisis,No,123
349,Tuesday,Person in Crisis,Yes,68
350,Tuesday,Person in Crisis,No,164
351,Tuesday,Person in Crisis,Yes,108
352,Tuesday,Person in Crisis,No,170
353,Tuesday,Person in Crisis,No,148
354,Tuesday,Person in Crisis,No,84
355,Tuesday,Person in Crisis,No,73
356,Tuesday,Person in Crisis,No,81
357,Tuesday,Person in Crisis,No,162
358,Tuesday,Person in Crisis,No,70
359,Tuesday,Person in Crisis,No,90
360,Tuesday,Person in Crisis,Yes,141
361,Tuesday,Person in Crisis,Yes,162
362,Tuesday,Person in Crisis,No,62
363,Tuesday,Suicide-related,No,65
364,Tuesday,Person in Crisis,No,173
365,Tuesday,Suicide-related,No,147
366,Tuesday,Suicide-related,No,47
367,Tuesday,Person in Crisis,No,57
368,Wednesday,Suicide-related,No,63
369,Wednesday,Overdose,No,39
370,Wednesday,Person in Crisis,No,88
371,Wednesday,Suicide-related,No,125
372,Wednesday,Suicide-related,No,73
373,Wednesday,Suicide-related,No,81
374,Wednesday,Person in Crisis,Yes,2
375,Wednesday,Person in Crisis,Yes,162
376,Wednesday,Person in Crisis,No,155
377,Wednesday,Suicide-related,No,110
378,Wednesday,Overdose,No,13
379,Wednesday,Person in Crisis,No,70
380,Wednesday,Person in Crisis,No,85
381,Wednesday,Suicide-related,Yes,158
382,Wednesday,Person in Crisis,No,79
383,Wednesday,Person in Crisis,No,124
384,Wednesday,Suicide-related,No,59
385,Wednesday,Suicide-related,No,39
386,Wednesday,Suicide-related,No,68
387,Wednesday,Person in Crisis,No,65
388,Wednesday,Person in Crisis,No,2
389,Wednesday,Suicide-related,Yes,128
390,Wednesday,Person in Crisis,No,128
391,Wednesday,Suicide-related,No,85
392,Wednesday,Suicide-related,No,159
393,Wednesday,Person in Crisis,No,160
394,Wednesday,Suicide-related,Yes,33
395,Wednesday,Person in Crisis,No,136
396,Wednesday,Person in Crisis,No,78
397,Wednesday,Person in Crisis,No,70
398,Wednesday,Person in Crisis,No,103
399,Wednesday,Suicide-related,No,70
400,Wednesday,Suicide-related,No,71
401,Wednesday,Suicide-related,No,68
402,Wednesday,Suicide-related,No,120
403,Wednesday,Person in Crisis,No,161
404,Wednesday,Person in Crisis,Yes,73
405,Wednesday,Person in Crisis,No,166
406,Wednesday,Person in Crisis,No,92
407,Wednesday,Person in Crisis,Yes,47
408,Wednesday,Person in Crisis,No,46
409,Wednesday,Suicide-related,No,111
410,Wednesday,Person in Crisis,No,1
411,Wednesday,Person in Crisis,Yes,47
412,Wednesday,Suicide-related,Yes,78
413,Wednesday,Person in Crisis,No,1
414,Wednesday,Person in Crisis,No,5
415,Wednesday,Suicide-related,Yes,158
416,Wednesday,Person in Crisis,No,136
417,Wednesday,Person in Crisis,No,95
418,Wednesday,Suicide-related,No,85
419,Wednesday,Person in Crisis,No,95
420,Wednesday,Person in Crisis,No,172
421,Wednesday,Person in Crisis,No,171
422,Wednesday,Person in Crisis,Yes,2
423,Wednesday,Suicide-related,No,62
424,Wednesday,Person in Crisis,No,168
425,Wednesday,Person in Crisis,No,78
426,Wednesday,Suicide-related,No,168
427,Wednesday,Suicide-related,No,90
428,Thursday,Person in Crisis,No,39
429,Thursday,Suicide-related,No,43
430,Thursday,Suicide-related,Yes,88
431,Thursday,Person in Crisis,No,129
432,Thursday,Person in Crisis,No,170
433,Thursday,Person in Crisis,No,63
434,Thursday,Suicide-related,Yes,43
435,Thursday,Person in Crisis,No,68
436,Thursday,Suicide-related,Yes,39
437,Thursday,Suicide-related,No,64
438,Thursday,Suicide-related,No,78
439,Thursday,Person in Crisis,No,25
440,Thursday,Overdose,No,159
441,Thursday,Suicide-related,No,48
442,Thursday,Person in Crisis,No,164
443,Thursday,Person in Crisis,No,170
444,Thursday,Person in Crisis,No,105
445,Thursday,Suicide-related,Yes,41
446,Thursday,Suicide-related,No,166
447,Thursday,Suicide-related,No,170
448,Thursday,Person in Crisis,Yes,47
449,Thursday,Person in Crisis,No,122
450,Thursday,Person in Crisis,Yes,78
451,Thursday,Person in Crisis,No,170
452,Thursday,Person in Crisis,No,85
453,Thursday,Person in Crisis,Yes,16
454,Thursday,Person in Crisis,No,83
455,Thursday,Suicide-related,No,159
456,Thursday,Overdose,No,135
457,Thursday,Person in Crisis,No,32
458,Thursday,Suicide-related,No,71
459,Thursday,Suicide-related,Yes,174
460,Thursday,Suicide-related,Yes,34
461,Thursday,Person in Crisis,No,27
462,Thursday,Suicide-related,No,106
463,Thursday,Person in Crisis,No,85
464,Thursday,Person in Crisis,No,25
465,Thursday,Person in Crisis,No,148
466,Thursday,Person in Crisis,No,73
467,Thursday,Person in Crisis,No,32
468,Thursday,Person in Crisis,No,86
469,Thursday,Suicide-related,No,53
470,Thursday,Suicide-related,Yes,168
471,Thursday,Person in Crisis,No,166
472,Thursday,Person in Crisis,Yes,62
473,Thursday,Person in Crisis,No,98
474,Thursday,Suicide-related,No,124
475,Thursday,Person in Crisis,No,148
476,Thursday,Person in Crisis,No,2
477,Thursday,Person in Crisis,No,156
478,Thursday,Person in Crisis,Yes,159
479,Thursday,Person in Crisis,No,85
480,Thursday,Suicide-related,No,124
481,Thursday,Suicide-related,Yes,95
482,Thursday,Person in Crisis,No,85
483,Thursday,Person in Crisis,No,136
484,Thursday,Suicide-related,Yes,164
485,Thursday,Person in Crisis,No,1
486,Thursday,Overdose,No,16
487,Thursday,Person in Crisis,No,123
488,Thursday,Person in Crisis,No,138
489,Thursday,Person in Crisis,No,118
490,Thursday,Suicide-related,No,168
491,Friday,Person in Crisis,No,156
492,Friday,Person in Crisis,No,90
493,Friday,Person in Crisis,Yes,128
494,Friday,Suicide-related,Yes,24
495,Friday,Person in Crisis,No,108
496,Friday,Person in Crisis,No,159
497,Friday,Person in Crisis,Yes,170
498,Friday,Person in Crisis,Yes,115
499,Friday,Person in Crisis,No,71
500,Friday,Suicide-related,No,166
501,Friday,Person in Crisis,No,155
502,Friday,Person in Crisis,Yes,118
503,Friday,Person in Crisis,Yes,2
504,Friday,Person in Crisis,Yes,70
505,Friday,Person in Crisis,Yes,125
506,Friday,Suicide-related,No,38
507,Friday,Person in Crisis,No,164
508,Friday,Suicide-related,No,170
509,Friday,Suicide-related,No,59
510,Friday,Person in Crisis,No,100
511,Friday,Person in Crisis,No,46
512,Friday,Person in Crisis,No,169
513,Friday,Suicide-related,Yes,129
514,Friday,Person in Crisis,No,170
515,Friday,Person in Crisis,No,141
516,Friday,Person in Crisis,No,90
517,Friday,Suicide-related,No,120
518,Friday,Person in Crisis,No,168
519,Friday,Suicide-related,No,150
520,Friday,Suicide-related,No,168
521,Friday,Suicide-related,No,81
522,Friday,Person in Crisis,No,7
523,Friday,Person in Crisis,No,31
524,Friday,Person in Crisis,No,73
525,Friday,Suicide-related,No,74
526,Friday,Person in Crisis,No,3
527,Friday,Person in Crisis,No,65
528,Friday,Person in Crisis,Yes,126
529,Friday,Person in Crisis,Yes,124
530,Friday,Person in Crisis,No,172
531,Friday,Person in Crisis,No,73
532,Friday,Person in Crisis,No,58
533,Friday,Person in Crisis,No,73
534,Friday,Person in Crisis,Yes,73
535,Friday,Suicide-related,No,158
536,Friday,Suicide-related,No,67
537,Friday,Person in Crisis,No,123
538,Friday,Person in Crisis,No,48
539,Friday,Person in Crisis,No,78
540,Friday,Person in Crisis,No,140
541,Friday,Person in Crisis,Yes,73
542,Friday,Person in Crisis,Yes,123
543,Friday,Person in Crisis,No,159
544,Friday,Person in Crisis,No,125
545,Friday,Person in Crisis,No,68
546,Friday,Suicide-related,No,124
547,Friday,Overdose,No,31
548,Saturday,Person in Crisis,No,166
549,Saturday,Person in Crisis,No,36
550,Saturday,Person in Crisis,No,107
551,Saturday,Suicide-related,No,87
552,Saturday,Person in Crisis,Yes,161
553,Saturday,Person in Crisis,No,73
554,Saturday,Suicide-related,No,66
555,Saturday,Person in Crisis,No,130
556,Saturday,Overdose,No,167
557,Saturday,Person in Crisis,Yes,2
558,Saturday,Person in Crisis,Yes,169
559,Saturday,Suicide-related,No,3
560,Saturday,Person in Crisis,No,1
561,Saturday,Suicide-related,No,33
562,Saturday,Overdose,No,164
563,Saturday,Person in Crisis,Yes,53
564,Saturday,Person in Crisis,No,25
565,Saturday,Suicide-related,No,7
566,Saturday,Suicide-related,Yes,143
567,Saturday,Person in Crisis,No,32
568,Saturday,Person in Crisis,No,47
569,Saturday,Suicide-related,No,170
570,Saturday,Suicide-related,Yes,61
571,Saturday,Person in Crisis,No,171
572,Saturday,Person in Crisis,No,170
573,Saturday,Suicide-related,No,141
574,Saturday,Suicide-related,No,100
575,Saturday,Suicide-related,No,80
576,Saturday,Person in Crisis,Yes,135
577,Saturday,Overdose,Yes,154
578,Saturday,Person in Crisis,No,90
579,Saturday,Suicide-related,No,25
580,Saturday,Person in Crisis,No,99
581,Saturday,Suicide-related,No,79
582,Saturday,Suicide-related,No,16
583,Saturday,Suicide-related,No,83
584,Saturday,Person in Crisis,No,39
585,Saturday,Person in Crisis,Yes,107
586,Saturday,Overdose,Yes,27
587,Saturday,Suicide-related,Yes,65
588,Saturday,Person in Crisis,Yes,168
589,Saturday,Person in Crisis,No,166
590,Saturday,Suicide-related,Yes,130
591,Saturday,Suicide-related,No,119
592,Saturday,Person in Crisis,No,73
593,Saturday,Person in Crisis,No,128
594,Saturday,Overdose,No,44
595,Saturday,Person in Crisis,No,88
596,Saturday,Suicide-related,No,142
597,Saturday,Person in Crisis,Yes,69
598,Saturday,Overdose,No,78
599,Sunday,Person in Crisis,No,73
600,Sunday,Suicide-related,No,81
601,Sunday,Person in Crisis,No,149
602,Sunday,Suicide-related,No,52
603,Sunday,Person in Crisis,No,3
604,Sunday,Person in Crisis,Yes,32
605,Sunday,Suicide-related,No,20
606,Sunday,Person in Crisis,No,139
607,Sunday,Person in Crisis,No,36
608,Sunday,Person in Crisis,No,162
609,Sunday,Person in Crisis,No,37
610,Sunday,Suicide-related,No,95
611,Sunday,Suicide-related,Yes,109
612,Sunday,Person in Crisis,No,70
613,Sunday,Overdose,No,30
614,Sunday,Person in Crisis,No,2
615,Sunday,Overdose,Yes,64
616,Sunday,Person in Crisis,No,168
617,Sunday,Suicide-related,No,124
618,Sunday,Person in Crisis,Yes,111
619,Sunday,Person in Crisis,No,25
620,Sunday,Suicide-related,No,145
621,Sunday,Overdose,No,87
622,Sunday,Suicide-related,No,159
623,Sunday,Person in Crisis,No,21
624,Sunday,Person in Crisis,No,85
625,Sunday,Person in Crisis,No,57
626,Sunday,Overdose,No,48
627,Sunday,Overdose,Yes,144
628,Sunday,Overdose,No,149
629,Sunday,Suicide-related,No,68
630,Sunday,Person in Crisis,No,63
631,Sunday,Person in Crisis,No,65
632,Sunday,Suicide-related,No,95
633,Sunday,Person in Crisis,No,170
634,Sunday,Person in Crisis,Yes,95
635,Sunday,Person in Crisis,No,36
636,Sunday,Person in Crisis,No,170
637,Sunday,Suicide-related,No,29
638,Sunday,Person in Crisis,No,25
639,Sunday,Suicide-related,No,54
640,Sunday,Suicide-related,No,37
641,Sunday,Suicide-related,Yes,141
642,Sunday,Person in Crisis,No,136
643,Sunday,Person in Crisis,No,139
644,Monday,Suicide-related,Yes,42
645,Monday,Suicide-related,No,79
646,Monday,Person in Crisis,Yes,170
647,Monday,Suicide-related,No,155
648,Monday,Suicide-related,No,166
649,Monday,Person in Crisis,No,151
650,Monday,Suicide-related,No,142
651,Monday,Person in Crisis,No,138
652,Monday,Person in Crisis,No,154
653,Monday,Suicide-related,Yes,167
654,Monday,Person in Crisis,Yes,112
655,Monday,Overdose,Yes,47
656,Monday,Person in Crisis,No,63
657,Monday,Person in Crisis,Yes,119
658,Monday,Person in Crisis,No,167
659,Monday,Person in Crisis,No,85
660,Monday,Person in Crisis,No,162
661,Monday,Person in Crisis,No,111
662,Monday,Overdose,No,55
663,Monday,Suicide-related,Yes,123
664,Monday,Person in Crisis,No,107
665,Monday,Person in Crisis,No,170
666,Monday,Suicide-related,No,30
667,Monday,Suicide-related,No,100
668,Monday,Person in Crisis,Yes,85
669,Monday,Suicide-related,Yes,78
670,Monday,Person in Crisis,No,112
671,Monday,Overdose,No,160
672,Monday,Suicide-related,No,8
673,Monday,Suicide-related,No,138
674,Monday,Person in Crisis,No,161
675,Monday,Person in Crisis,No,143
676,Monday,Person in Crisis,Yes,107
677,Monday,Person in Crisis,No,85
678,Monday,Person in Crisis,No,49
679,Monday,Suicide-related,No,105
680,Monday,Suicide-related,No,90
681,Monday,Person in Crisis,Yes,159
682,Monday,Person in Crisis,Yes,110
683,Monday,Person in Crisis,No,96
684,Monday,Person in Crisis,No,32
685,Monday,Person in Crisis,No,111
686,Monday,Suicide-related,No,143
687,Monday,Person in Crisis,Yes,52
688,Monday,Suicide-related,Yes,25
689,Monday,Person in Crisis,No,136
691,Monday,Person in Crisis,Yes,170
692,Monday,Person in Crisis,Yes,78
693,Monday,Overdose,No,31
694,Monday,Person in Crisis,No,52
695,Monday,Suicide-related,No,83
696,Monday,Suicide-related,No,24
697,Monday,Person in Crisis,No,84
698,Monday,Suicide-related,No,73
699,Monday,Person in Crisis,No,170
700,Monday,Suicide-related,No,160
701,Monday,Suicide-related,No,95
702,Monday,Person in Crisis,Yes,78
703,Monday,Suicide-related,Yes,156
704,Monday,Person in Crisis,No,68
705,Monday,Person in Crisis,No,81
706,Monday,Person in Crisis,Yes,25
707,Monday,Person in Crisis,No,78
708,Tuesday,Suicide-related,Yes,174
709,Tuesday,Overdose,No,68
710,Tuesday,Suicide-related,No,174
711,Tuesday,Person in Crisis,Yes,112
712,Tuesday,Overdose,Yes,112
713,Tuesday,Person in Crisis,No,38
714,Tuesday,Overdose,Yes,121
715,Tuesday,Person in Crisis,No,156
716,Tuesday,Suicide-related,No,165
717,Tuesday,Person in Crisis,Yes,146
718,Tuesday,Person in Crisis,No,135
719,Tuesday,Person in Crisis,No,171
720,Tuesday,Suicide-related,No,52
721,Tuesday,Person in Crisis,No,162
722,Tuesday,Person in Crisis,No,78
723,Tuesday,Person in Crisis,Yes,98
724,Tuesday,Person in Crisis,No,163
725,Tuesday,Suicide-related,No,107
726,Tuesday,Suicide-related,No,168
727,Tuesday,Person in Crisis,No,6
728,Tuesday,Overdose,No,47
729,Tuesday,Suicide-related,No,74
730,Tuesday,Suicide-related,Yes,150
731,Tuesday,Person in Crisis,No,146
732,Tuesday,Person in Crisis,No,170
733,Tuesday,Suicide-related,No,31
734,Tuesday,Suicide-related,No,160
735,Tuesday,Suicide-related,No,6
736,Tuesday,Person in Crisis,No,73
737,Tuesday,Suicide-related,No,1
738,Tuesday,Person in Crisis,No,111
739,Tuesday,Overdose,No,68
740,Tuesday,Person in Crisis,Yes,29
741,Tuesday,Overdose,No,61
