objectid,event_year,event_month,event_dow,event_type
260400,2023,January,Monday,Person in Crisis
260401,2023,January,Monday,Person in Crisis
260402,2023,January,Monday,Person in Crisis
260403,2023,January,Monday,Person in Crisis
260404,2023,January,Monday,Suicide-related
260405,2023,January,Monday,Person in Crisis
260406,2023,January,Monday,Person in Crisis
260407,2023,January,Monday,Suicide-related
260408,2023,January,Monday,Overdose
260409,2023,January,Monday,Person in Crisis
260410,2023,January,Monday,Suicide-related
260411,2023,January,Monday,Suicide-related
260412,2023,January,Monday,Person in Crisis
260413,2023,January,Monday,Person in Crisis
260414,2023,January,Monday,Suicide-related
260415,2023,January,Monday,Suicide-related
260416,2023,January,Monday,Person in Crisis
260417,2023,January,Monday,Overdose
260418,2023,January,Monday,Person in Crisis
260419,2023,January,Monday,Person in Crisis
260420,2023,January,Monday,Overdose
260421,2023,January,Monday,Suicide-related
260422,2023,January,Monday,Person in Crisis
260423,2023,January,Monday,Suicide-related
260424,2023,January,Monday,Overdose
260425,2023,January,Monday,Person in Crisis
260426,2023,January,Monday,Person in Crisis
260427,2023,January,Monday,Overdose
260428,2023,January,Monday,Person in Crisis
260429,2023,January,Monday,Suicide-related
260430,2023,January,Monday,Person in Crisis
260431,2023,January,Monday,Person in Crisis
260432,2023,January,Monday,Person in Crisis
260433,2023,January,Monday,Overdose
260434,2023,January,Monday,Person in Crisis
260435,2023,January,Monday,Suicide-related
260436,2023,January,Monday,Person in Crisis
260437,2023,January,Monday,Person in Crisis
260438,2023,January,Monday,Suicide-related
260439,2023,January,Monday,Suicide-related
260440,2023,January,Monday,Suicide-related
260441,2023,January,Monday,Person in Crisis
260442,2023,January,Monday,Person in Crisis
260443,2023,January,Monday,Person in Crisis
260444,2023,January,Monday,Suicide-related
260445,2023,January,Monday,Overdose
260446,2023,January,Monday,Person in Crisis
260447,2023,January,Monday,Person in Crisis
260448,2023,January,Monday,Suicide-related
260449,2023,January,Monday,Overdose
260450,2023,January,Monday,Person in Crisis
260451,2023,January,Monday,Person in Crisis
260452,2023,January,Monday,Person in Crisis
260453,2023,January,Monday,Suicide-related
260454,2023,January,Monday,Person in Crisis
260455,2023,January,Monday,Person in Crisis
260456,2023,January,Tuesday,Person in Crisis
260457,2023,January,Tuesday,Person in Crisis
260458,2023,January,Tuesday,Suicide-related
260459,2023,January,Tuesday,Suicide-related
260460,2023,January,Tuesday,Person in Crisis
260461,2023,January,Tuesday,Person in Crisis
260462,2023,January,Tuesday,Person in Crisis
260463,2023,January,Tuesday,Person in Crisis
260464,2023,January,Tuesday,Person in Crisis
260465,2023,January,Tuesday,Person in Crisis
260466,2023,January,Tuesday,Person in Crisis
260467,2023,January,Tuesday,Suicide-related
260468,2023,January,Tuesday,Person in Crisis
260469,2023,January,Tuesday,Suicide-related
260470,2023,January,Tuesday,Suicide-related
260471,2023,January,Tuesday,Suicide-related
260472,2023,January,Tuesday,Suicide-related
260473,2023,January,Tuesday,Suicide-related
260474,2023,January,Tuesday,Person in Crisis
260475,2023,January,Tuesday,Suicide-related
260476,2023,January,Tuesday,Person in Crisis
260477,2023,January,Tuesday,Person in Crisis
260478,2023,January,Tuesday,Suicide-related
260479,2023,January,Tuesday,Person in Crisis
260480,2023,January,Tuesday,Suicide-related
260481,2023,January,Tuesday,Suicide-related
260482,2023,January,Tuesday,Person in Crisis
260483,2023,January,Tuesday,Person in Crisis
260484,2023,January,Tuesday,Suicide-related
260485,2023,January,Tuesday,Suicide-related
260486,2023,January,Tuesday,Person in Crisis
260487,2023,January,Tuesday,Suicide-related
260488,2023,January,Tuesday,Suicide-related
260489,2023,January,Tuesday,Suicide-related
260490,2023,January,Tuesday,Person in Crisis
260491,2023,January,Tuesday,Person in Crisis
260492,2023,January,Tuesday,Person in Crisis
260493,2023,January,Tuesday,Person in Crisis
260494,2023,January,Tuesday,Suicide-related
260495,2023,January,Tuesday,Person in Crisis
260496,2023,January,Tuesday,Person in Crisis
260497,2023,January,Tuesday,Person in Crisis
260498,2023,January,Tuesday,Suicide-related
260499,2023,January,Tuesday,Person in Crisis
260500,2023,January,Tuesday,Overdose
260501,2023,January,Tuesday,Overdose
260502,2023,January,Tuesday,Person in Crisis
260503,2023,January,Tuesday,Suicide-related
260504,2023,January,Tuesday,Person in Crisis
260505,2023,January,Tuesday,Person in Crisis
260506,2023,January,Tuesday,Person in Crisis
260507,2023,January,Tuesday,Suicide-related
260508,2023,January,Tuesday,Person in Crisis
260509,2023,January,Tuesday,Person in Crisis
260510,2023,January,Tuesday,Suicide-related
260511,2023,January,Tuesday,Person in Crisis
260512,2023,January,Tuesday,Person in Crisis
260513,2023,January,Tuesday,Suicide-related
260514,2023,January,Tuesday,Person in Crisis
260515,2023,January,Tuesday,Person in Crisis
260516,2023,January,Tuesday,Person in Crisis
260517,2023,January,Tuesday,Person in Crisis
260518,2023,January,Tuesday,Person in Crisis
260519,2023,January,Tuesday,Person in Crisis
260520,2023,January,Tuesday,Suicide-related
260521,2023,January,Tuesday,Person in Crisis
260522,2023,January,Tuesday,Person in Crisis
260523,2023,January,Tuesday,Person in Crisis
260524,2023,January,Tuesday,Person in Crisis
260525,2023,January,Tuesday,Overdose
260526,2023,January,Tuesday,Person in Crisis
260527,2023,January,Tuesday,Suicide-related
260528,2023,January,Tuesday,Person in Crisis
260529,2023,January,Tuesday,Person in Crisis
260530,2023,January,Tuesday,Suicide-related
260531,2023,January,Tuesday,Person in Crisis
260532,2023,January,Tuesday,Person in Crisis
260533,2023,January,Tuesday,Suicide-related
260534,2023,January,Tuesday,Overdose
260535,2023,January,Tuesday,Suicide-related
260536,2023,January,Tuesday,Suicide-related
260537,2023,January,Tuesday,Person in Crisis
260538,2023,January,Tuesday,Overdose
260539,2023,January,Tuesday,Suicide-related
260540,2023,January,Tuesday,Suicide-related
260541,2023,January,Wednesday,Suicide-related
260542,2023,January,Wednesday,Person in Crisis
260543,2023,January,Wednesday,Suicide-related
260544,2023,January,Wednesday,Person in Crisis
260545,2023,January,Wednesday,Suicide-related
260546,2023,January,Wednesday,Suicide-related
260547,2023,January,Wednesday,Suicide-related
260548,2023,January,Wednesday,Person in Crisis
260549,2023,January,Wednesday,Person in Crisis
260550,2023,January,Wednesday,Suicide-related
260551,2023,January,Wednesday,Suicide-related
260552,2023,January,Wednesday,Suicide-related
260553,2023,January,Wednesday,Suicide-related
260554,2023,January,Wednesday,Person in Crisis
260555,2023,January,Wednesday,Person in Crisis
260556,2023,January,Wednesday,Person in Crisis
260557,2023,January,Wednesday,Suicide-related
260558,2023,January,Wednesday,Person in Crisis
260559,2023,January,Wednesday,Person in Crisis
260560,2023,January,Wednesday,Person in Crisis
260561,2023,January,Wednesday,Person in Crisis
260562,2023,January,Wednesday,Suicide-related
260563,2023,January,Wednesday,Suicide-related
260564,2023,January,Wednesday,Suicide-related
260565,2023,January,Wednesday,Person in Crisis
260566,2023,January,Wednesday,Suicide-related
260567,2023,January,Wednesday,Suicide-related
260568,2023,January,Wednesday,Person in Crisis
260569,2023,January,Wednesday,Suicide-related
260570,2023,January,Wednesday,Suicide-related
260571,2023,January,Wednesday,Suicide-related
260572,2023,January,Wednesday,Person in Crisis
260573,2023,January,Wednesday,Person in Crisis
260574,2023,January,Wednesday,Overdose
260575,2023,January,Wednesday,Person in Crisis
260576,2023,January,Wednesday,Suicide-related
260577,2023,January,Wednesday,Person in Crisis
260578,2023,January,Wednesday,Person in Crisis
260579,2023,January,Wednesday,Suicide-related
260580,2023,January,Wednesday,Person in Crisis
260581,2023,January,Wednesday,Overdose
260582,2023,January,Wednesday,Person in Crisis
260583,2023,January,Wednesday,Suicide-related
260584,2023,January,Wednesday,Person in Crisis
260585,2023,January,Wednesday,Suicide-related
260586,2023,January,Wednesday,Overdose
260587,2023,January,Wednesday,Person in Crisis
260588,2023,January,Wednesday,Suicide-related
260589,2023,January,Wednesday,Overdose
260590,2023,January,Wednesday,Person in Crisis
260591,2023,January,Wednesday,Person in Crisis
260592,2023,January,Wednesday,Suicide-related
260593,2023,January,Wednesday,Person in Crisis
260594,2023,January,Wednesday,Person in Crisis
260595,2023,January,Wednesday,Suicide-related
260596,2023,January,Wednesday,Overdose
260597,2023,January,Wednesday,Person in Crisis
260598,2023,January,Wednesday,Suicide-related
260599,2023,January,Wednesday,Person in Crisis
260600,2023,January,Wednesday,Suicide-related
260601,2023,January,Wednesday,Suicide-related
260602,2023,January,Wednesday,Person in Crisis
260603,2023,January,Wednesday,Person in Crisis
260604,2023,January,Wednesday,Overdose
260605,2023,January,Wednesday,Person in Crisis
260606,2023,January,Wednesday,Suicide-related
260607,2023,January,Wednesday,Suicide-related
260608,2023,January,Wednesday,Overdose
260609,2023,January,Wednesday,Suicide-related
260610,2023,January,Wednesday,Person in Crisis
260611,2023,January,Wednesday,Person in Crisis
260612,2023,January,Wednesday,Person in Crisis
260613,2023,January,Wednesday,Suicide-related
260614,2023,January,Wednesday,Suicide-related
260615,2023,January,Thursday,Person in Crisis
260616,2023,January,Thursday,Suicide-related
260617,2023,January,Thursday,Person in Crisis
260618,2023,January,Thursday,Person in Crisis
260619,2023,January,Thursday,Person in Crisis
260620,2023,January,Thursday,Person in Crisis
260621,2023,January,Thursday,Person in Crisis
260622,2023,January,Thursday,Person in Crisis
260623,2023,January,Thursday,Overdose
260624,2023,January,Thursday,Overdose
260625,2023,January,Thursday,Person in Crisis
260626,2023,January,Thursday,Person in Crisis
260627,2023,January,Thursday,Person in Crisis
260628,2023,January,Thursday,Overdose
260629,2023,January,Thursday,Suicide-related
260630,2023,January,Thursday,Suicide-related
260631,2023,January,Thursday,Suicide-related
260632,2023,January,Thursday,Person in Crisis
260633,2023,January,Thursday,Person in Crisis
260634,2023,January,Thursday,Person in Crisis
260635,2023,January,Thursday,Person in Crisis
260636,2023,January,Thursday,Person in Crisis
260637,2023,January,Thursday,Overdose
260638,2023,January,Thursday,Person in Crisis
260639,2023,January,Thursday,Person in Crisis
260640,2023,January,Thursday,Person in Crisis
260641,2023,January,Thursday,Overdose
260642,2023,January,Thursday,Suicide-related
260643,2023,January,Thursday,Suicide-related
260644,2023,January,Thursday,Person in Crisis
260645,2023,January,Thursday,Suicide-related
260646,2023,January,Thursday,Person in Crisis
260647,2023,January,Thursday,Suicide-related
260648,2023,January,Thursday,Person in Crisis
260649,2023,January,Thursday,Suicide-related
260650,2023,January,Thursday,Person in Crisis
260651,2023,January,Thursday,Person in Crisis
260652,2023,January,Thursday,Suicide-related
260653,2023,January,Thursday,Person in Crisis
260654,2023,January,Thursday,Suicide-related
260655,2023,January,Thursday,Person in Crisis
260656,2023,January,Thursday,Overdose
260657,2023,January,Thursday,Suicide-related
260658,2023,January,Thursday,Person in Crisis
260659,2023,January,Thursday,Overdose
260660,2023,January,Thursday,Person in Crisis
260661,2023,January,Thursday,Person in Crisis
260662,2023,January,Thursday,Person in Crisis
260663,2023,January,Thursday,Person in Crisis
260664,2023,January,Thursday,Person in Crisis
260665,2023,January,Thursday,Suicide-related
260666,2023,January,Thursday,Person in Crisis
260667,2023,January,Thursday,Suicide-related
260668,2023,January,Thursday,Suicide-related
260669,2023,January,Thursday,Suicide-related
260670,2023,January,Thursday,Suicide-related
260671,2023,January,Thursday,Suicide-related
260672,2023,January,Thursday,Suicide-related
260673,2023,January,Thursday,Person in Crisis
260674,2023,January,Thursday,Suicide-related
260675,2023,January,Thursday,Person in Crisis
260676,2023,January,Thursday,Person in Crisis
260677,2023,January,Thursday,Suicide-related
260678,2023,January,Thursday,Person in Crisis
260679,2023,January,Thursday,Person in Crisis
260680,2023,January,Thursday,Person in Crisis
260681,2023,January,Thursday,Person in Crisis
260682,2023,January,Thursday,Suicide-related
260683,2023,January,Thursday,Suicide-related
260684,2023,January,Thursday,Suicide-related
260685,2023,January,Thursday,Overdose
260686,2023,January,Thursday,Person in Crisis
260687,2023,January,Thursday,Person in Crisis
260688,2023,January,Friday,Suicide-related
260689,2023,January,Friday,Suicide-related
260690,2023,January,Friday,Person in Crisis
260691,2023,January,Friday,Suicide-related
260692,2023,January,Friday,Suicide-related
260693,2023,January,Friday,Person in Crisis
260694,2023,January,Friday,Person in Crisis
260695,2023,January,Friday,Overdose
260696,2023,January,Friday,Person in Crisis
260697,2023,January,Friday,Suicide-related
260698,2023,January,Friday,Person in Crisis
260699,2023,January,Friday,Person in Crisis
260700,2023,January,Friday,Overdose
260701,2023,January,Friday,Person in Crisis
260702,2023,January,Friday,Person in Crisis
260703,2023,January,Friday,Person in Crisis
260704,2023,January,Friday,Suicide-related
260705,2023,January,Friday,Suicide-related
260706,2023,January,Friday,Suicide-related
260707,2023,January,Friday,Person in Crisis
260708,2023,January,Friday,Person in Crisis
260709,2023,January,Friday,Person in Crisis
260710,2023,January,Friday,Suicide-related
260711,2023,January,Friday,Person in Crisis
260712,2023,January,Friday,Person in Crisis
260713,2023,January,Friday,Person in Crisis
260714,2023,January,Friday,Suicide-related
260715,2023,January,Friday,Person in Crisis
260716,2023,January,Friday,Person in Crisis
260717,2023,January,Friday,Person in Crisis
260718,2023,January,Friday,Person in Crisis
260719,2023,January,Friday,Suicide-related
260720,2023,January,Friday,Person in Crisis
260721,2023,January,Friday,Person in Crisis
260722,2023,January,Friday,Person in Crisis
260723,2023,January,Friday,Person in Crisis
260724,2023,January,Friday,Person in Crisis
260725,2023,January,Friday,Suicide-related
260726,2023,January,Friday,Person in Crisis
260727,2023,January,Friday,Suicide-related
260728,2023,January,Friday,Person in Crisis
260729,2023,January,Friday,Suicide-related
260730,2023,January,Friday,Suicide-related
260731,2023,January,Friday,Overdose
260732,2023,January,Friday,Person in Crisis
260733,2023,January,Friday,Suicide-related
260734,2023,January,Friday,Person in Crisis
260735,2023,January,Friday,Suicide-related
260736,2023,January,Friday,Suicide-related
260737,2023,January,Friday,Person in Crisis
260738,2023,January,Friday,Person in Crisis
260739,2023,January,Friday,Person in Crisis
260740,2023,January,Friday,Person in Crisis
260741,2023,January,Friday,Person in Crisis
260742,2023,January,Friday,Person in Crisis
260743,2023,January,Friday,Suicide-related
260744,2023,January,Friday,Overdose
260745,2023,January,Friday,Suicide-related
260746,2023,January,Friday,Person in Crisis
260747,2023,January,Friday,Person in Crisis
260748,2023,January,Friday,Person in Crisis
260749,2023,January,Friday,Suicide-related
260750,2023,January,Friday,Suicide-related
260751,2023,January,Friday,Person in Crisis
260752,2023,January,Friday,Suicide-related
260753,2023,January,Friday,Person in Crisis
260754,2023,January,Friday,Person in Crisis
260755,2023,January,Friday,Person in Crisis
260756,2023,January,Friday,Suicide-related
260757,2023,January,Friday,Person in Crisis
260758,2023,January,Friday,Person in Crisis
260759,2023,January,Friday,Person in Crisis
260760,2023,January,Friday,Person in Crisis
260761,2023,January,Friday,Person in Crisis
260762,2023,January,Friday,Suicide-related
260763,2023,January,Friday,Suicide-related
260764,2023,January,Friday,Suicide-related
260765,2023,January,Friday,Person in Crisis
260766,2023,January,Friday,Overdose
260767,2023,January,Friday,Person in Crisis
260768,2023,January,Friday,Person in Crisis
260769,2023,January,Friday,Suicide-related
260770,2023,January,Friday,Suicide-related
260771,2023,January,Friday,Suicide-related
260772,2023,January,Friday,Person in Crisis
260773,2023,January,Friday,Person in Crisis
260774,2023,January,Friday,Person in Crisis
260775,2023,January,Friday,Suicide-related
260776,2023,January,Friday,Person in Crisis
260777,2023,January,Friday,Suicide-related
260778,2023,January,Friday,Person in Crisis
260779,2023,January,Friday,Person in Crisis
260780,2023,January,Friday,Overdose
260781,2023,January,Saturday,Person in Crisis
260782,2023,January,Saturday,Person in Crisis
260783,2023,January,Saturday,Suicide-related
260784,2023,January,Saturday,Suicide-related
260785,2023,January,Saturday,Suicide-related
260786,2023,January,Saturday,Overdose
260787,2023,January,Saturday,Person in Crisis
260788,2023,January,Saturday,Person in Crisis
260789,2023,January,Saturday,Suicide-related
260790,2023,January,Saturday,Person in Crisis
260791,2023,January,Saturday,Person in Crisis
260792,2023,January,Saturday,Person in Crisis
260793,2023,January,Saturday,Suicide-related
260794,2023,January,Saturday,Person in Crisis
260795,2023,January,Saturday,Suicide-related
260796,2023,January,Saturday,Overdose
260797,2023,January,Saturday,Person in Crisis
260798,2023,January,Saturday,Suicide-related
260799,2023,January,Saturday,Person in Crisis
260800,2023,January,Saturday,Person in Crisis
260801,2023,January,Saturday,Person in Crisis
260802,2023,January,Saturday,Person in Crisis
260803,2023,January,Saturday,Suicide-related
260804,2023,January,Saturday,Suicide-related
260805,2023,January,Saturday,Suicide-related
260806,2023,January,Saturday,Suicide-related
260807,2023,January,Saturday,Person in Crisis
260808,2023,January,Saturday,Person in Crisis
260809,2023,January,Saturday,Person in Crisis
260810,2023,January,Saturday,Person in Crisis
260811,2023,January,Saturday,Suicide-related
260812,2023,January,Saturday,Person in Crisis
260813,2023,January,Saturday,Overdose
260814,2023,January,Saturday,Suicide-related
260815,2023,January,Saturday,Person in Crisis
260816,2023,January,Saturday,Person in Crisis
260817,2023,January,Saturday,Suicide-related
260818,2023,January,Saturday,Person in Crisis
260819,2023,January,Saturday,Suicide-related
260820,2023,January,Saturday,Person in Crisis
260821,2023,January,Saturday,Suicide-related
260822,2023,January,Saturday,Suicide-related
260823,2023,January,Saturday,Suicide-related
260824,2023,January,Saturday,Suicide-related
260825,2023,January,Saturday,Person in Crisis
260826,2023,January,Saturday,Suicide-related
260827,2023,January,Saturday,Person in Crisis
260828,2023,January,Saturday,Person in Crisis
260829,2023,January,Saturday,Person in Crisis
260830,2023,January,Saturday,Person in Crisis
260831,2023,January,Saturday,Person in Crisis
260832,2023,January,Saturday,Overdose
260833,2023,January,Saturday,Person in Crisis
260834,2023,January,Saturday,Person in Crisis
260835,2023,January,Saturday,Overdose
260836,2023,January,Saturday,Suicide-related
260837,2023,January,Saturday,Suicide-related
260838,2023,January,Saturday,Person in Crisis
260839,2023,January,Saturday,Suicide-related
260840,2023,January,Saturday,Person in Crisis
260841,2023,January,Saturday,Person in Crisis
260842,2023,January,Saturday,Suicide-related
260843,2023,January,Saturday,Person in Crisis
260844,2023,January,Sunday,Person in Crisis
260845,2023,January,Sunday,Person in Crisis
260846,2023,January,Sunday,Suicide-related
260847,2023,January,Sunday,Person in Crisis
260848,2023,January,Sunday,Suicide-related
260849,2023,January,Sunday,Overdose
260850,2023,January,Sunday,Suicide-related
260851,2023,January,Sunday,Person in Crisis
260852,2023,January,Sunday,Suicide-related
260853,2023,January,Sunday,Person in Crisis
260854,2023,January,Sunday,Suicide-related
260855,2023,January,Sunday,Overdose
260856,2023,January,Sunday,Suicide-related
260857,2023,January,Sunday,Person in Crisis
260858,2023,January,Sunday,Person in Crisis
260859,2023,January,Sunday,Person in Crisis
260860,2023,January,Sunday,Suicide-related
260861,2023,January,Sunday,Suicide-related
260862,2023,January,Sunday,Suicide-related
260863,2023,January,Sunday,Suicide-related
260864,2023,January,Sunday,Person in Crisis
260865,2023,January,Sunday,Suicide-related
260866,2023,January,Sunday,Suicide-related
260867,2023,January,Sunday,Person in Crisis
260868,2023,January,Sunday,Person in Crisis
260869,2023,January,Sunday,Suicide-related
260870,2023,January,Sunday,Person in Crisis
260871,2023,January,Sunday,Person in Crisis
260872,2023,January,Sunday,Person in Crisis
260873,2023,January,Sunday,Person in Crisis
260874,2023,January,Sunday,Person in Crisis
260875,2023,January,Sunday,Overdose
260876,2023,January,Sunday,Person in Crisis
260877,2023,January,Sunday,Person in Crisis
260878,2023,January,Sunday,Person in Crisis
260879,2023,January,Sunday,Person in Crisis
260880,2023,January,Sunday,Person in Crisis
260881,2023,January,Sunday,Overdose
260882,2023,January,Sunday,Suicide-related
260883,2023,January,Sunday,Person in Crisis
260884,2023,January,Sunday,Person in Crisis
260885,2023,January,Sunday,Person in Crisis
260886,2023,January,Sunday,Suicide-related
260887,2023,January,Sunday,Overdose
260888,2023,January,Sunday,Suicide-related
260889,2023,January,Sunday,Suicide-related
260890,2023,January,Sunday,Suicide-related
260891,2023,January,Sunday,Suicide-related
260892,2023,January,Sunday,Suicide-related
260893,2023,January,Sunday,Suicide-related
260894,2023,January,Sunday,Suicide-related
260895,2023,January,Sunday,Suicide-related
260896,2023,January,Sunday,Overdose
260897,2023,January,Sunday,Person in Crisis
260898,2023,January,Sunday,Person in Crisis
260899,2023,January,Sunday,Person in Crisis
260900,2023,January,Sunday,Suicide-related
260901,2023,January,Sunday,Person in Crisis
260902,2023,January,Sunday,Overdose
260903,2023,January,Sunday,Person in Crisis
260904,2023,January,Sunday,Overdose
260905,2023,January,Sunday,Person in Crisis
260906,2023,January,Sunday,Person in Crisis
260907,2023,January,Sunday,Overdose
260908,2023,January,Sunday,Suicide-related
260909,2023,January,Sunday,Suicide-related
260910,2023,January,Monday,Person in Crisis
260911,2023,January,Monday,Person in Crisis
260912,2023,January,Monday,Suicide-related
260913,2023,January,Monday,Suicide-related
260914,2023,January,Monday,Suicide-related
260915,2023,January,Monday,Suicide-related
260916,2023,January,Monday,Suicide-related
260917,2023,January,Monday,Overdose
260918,2023,January,Monday,Suicide-related
260919,2023,January,Monday,Person in Crisis
260920,2023,January,Monday,Person in Crisis
260921,2023,January,Monday,Suicide-related
260922,2023,January,Monday,Person in Crisis
260923,2023,January,Monday,Person in Crisis
260924,2023,January,Monday,Overdose
260925,2023,January,Monday,Person in Crisis
260926,2023,January,Monday,Suicide-related
260927,2023,January,Monday,Suicide-related
260928,2023,January,Monday,Person in Crisis
260929,2023,January,Monday,Person in Crisis
260930,2023,January,Monday,Suicide-related
260931,2023,January,Monday,Overdose
260932,2023,January,Monday,Suicide-related
260933,2023,January,Monday,Suicide-related
260934,2023,January,Monday,Overdose
260935,2023,January,Monday,Suicide-related
260936,2023,January,Monday,Suicide-related
260937,2023,January,Monday,Suicide-related
260938,2023,January,Monday,Suicide-related
260939,2023,January,Monday,Suicide-related
260940,2023,January,Monday,Overdose
260941,2023,January,Monday,Suicide-related
260942,2023,January,Monday,Person in Crisis
260943,2023,January,Monday,Suicide-related
260944,2023,January,Monday,Person in Crisis
260945,2023,January,Monday,Suicide-related
260946,2023,January,Monday,Suicide-related
260947,2023,January,Monday,Overdose
260948,2023,January,Monday,Overdose
260949,2023,January,Monday,Person in Crisis
260950,2023,January,Monday,Suicide-related
260951,2023,January,Monday,Suicide-related
260952,2023,January,Monday,Suicide-related
260953,2023,January,Monday,Person in Crisis
260954,2023,January,Monday,Person in Crisis
260955,2023,January,Monday,Suicide-related
260956,2023,January,Monday,Person in Crisis
260957,2023,January,Monday,Person in Crisis
260958,2023,January,Monday,Person in Crisis
260959,2023,January,Monday,Person in Crisis
260960,2023,January,Monday,Overdose
260961,2023,January,Monday,Person in Crisis
260962,2023,January,Monday,Person in Crisis
260963,2023,January,Monday,Person in Crisis
260964,2023,January,Monday,Person in Crisis
260965,2023,January,Monday,Suicide-related
260966,2023,January,Monday,Suicide-related
260967,2023,January,Monday,Person in Crisis
260968,2023,January,Monday,Person in Crisis
260969,2023,January,Monday,Person in Crisis
260970,2023,January,Monday,Person in Crisis
260971,2023,January,Monday,Suicide-related
260972,2023,January,Monday,Suicide-related
260973,2023,January,Monday,Person in Crisis
260974,2023,January,Monday,Overdose
260975,2023,January,Monday,Person in Crisis
260976,2023,January,Monday,Person in Crisis
260977,2023,January,Monday,Suicide-related
260978,2023,January,Monday,Person in Crisis
260979,2023,January,Monday,Suicide-related
260980,2023,January,Monday,Person in Crisis
