objectid,event_type,hood_158_loc
109,Person in Crisis,2
110,Suicide-related,87
111,Suicide-related,166
112,Suicide-related,171
113,Person in Crisis,154
114,Person in Crisis,83
115,Suicide-related,39
116,Person in Crisis,120
117,Person in Crisis,85
118,Suicide-related,80
119,Suicide-related,113
120,Person in Crisis,151
121,Person in Crisis,78
122,Suicide-related,170
123,Person in Crisis,1
124,Person in Crisis,35
125,Suicide-related,57
126,Person in Crisis,71
127,Person in Crisis,25
128,Person in Crisis,100
129,Person in Crisis,37
130,Person in Crisis,54
131,Suicide-related,174
132,Person in Crisis,85
133,Suicide-related,174
134,Suicide-related,136
135,Person in Crisis,99
136,Person in Crisis,30
137,Person in Crisis,164
138,Person in Crisis,70
139,Person in Crisis,36
140,Person in Crisis,2
141,Person in Crisis,95
142,Person in Crisis,167
143,Suicide-related,164
144,Person in Crisis,46
145,Suicide-related,1
146,Suicide-related,74
147,Suicide-related,172
148,Suicide-related,122
149,Suicide-related,118
150,Person in Crisis,167
151,Person in Crisis,88
152,Person in Crisis,159
153,Suicide-related,53
154,Person in Crisis,73
155,Person in Crisis,84
156,Person in Crisis,170
157,Suicide-related,170
158,Person in Crisis,73
159,Person in Crisis,73
160,Person in Crisis,68
161,Suicide-related,27
162,Person in Crisis,170
163,Person in Crisis,97
164,Suicide-related,174
165,Person in Crisis,64
166,Suicide-related,170
167,Suicide-related,43
168,Person in Crisis,121
169,Person in Crisis,40
170,Person in Crisis,62
171,Person in Crisis,167
172,Person in Crisis,88
173,Suicide-related,140
174,Person in Crisis,139
175,Overdose,139
176,Person in Crisis,8
177,Person in Crisis,74
178,Person in Crisis,35
179,Person in Crisis,160
180,Person in Crisis,135
181,Suicide-related,89
182,Person in Crisis,124
183,Suicide-related,22
184,Person in Crisis,43
185,Suicide-related,155
186,Person in Crisis,85
187,Person in Crisis,71
188,Overdose,53
189,Suicide-related,134
190,Person in Crisis,122
191,Person in Crisis,85
192,Person in Crisis,122
193,Person in Crisis,59
194,Person in Crisis,5
195,Person in Crisis,167
196,Person in Crisis,164
197,Person in Crisis,25
198,Overdose,27
199,Person in Crisis,11
200,Person in Crisis,136
201,Suicide-related,124
202,Suicide-related,142
203,Person in Crisis,84
204,Person in Crisis,164
205,Person in Crisis,159
206,Suicide-related,90
207,Person in Crisis,84
208,Suicide-related,66
209,Person in Crisis,85
210,Person in Crisis,73
211,Overdose,106
212,Person in Crisis,129
213,Person in Crisis,118
214,Suicide-related,22
215,Person in Crisis,122
216,Person in Crisis,163
217,Suicide-related,35
218,Suicide-related,97
219,Overdose,18
220,Overdose,1
221,Person in Crisis,162
222,Overdose,71
223,Suicide-related,95
224,Person in Crisis,159
225,Person in Crisis,129
226,Person in Crisis,70
227,Person in Crisis,73
228,Person in Crisis,159
229,Person in Crisis,41
230,Person in Crisis,47
231,Person in Crisis,68
232,Suicide-related,79
233,Person in Crisis,103
234,Person in Crisis,78
235,Person in Crisis,5
236,Person in Crisis,11
237,Person in Crisis,135
238,Overdose,171
239,Person in Crisis,110
240,Overdose,70
241,Suicide-related,136
242,Person in Crisis,105
243,Person in Crisis,126
244,Person in Crisis,167
245,Person in Crisis,52
246,Person in Crisis,136
247,Person in Crisis,43
248,Person in Crisis,107
249,Person in Crisis,78
250,Person in Crisis,55
251,Person in Crisis,168
252,Suicide-related,135
253,Person in Crisis,68
254,Overdose,1
255,Person in Crisis,119
256,Person in Crisis,170
257,Person in Crisis,36
258,Suicide-related,27
259,Suicide-related,113
260,Person in Crisis,62
261,Person in Crisis,111
262,Suicide-related,90
263,Person in Crisis,63
264,Overdose,170
265,Suicide-related,168
266,Person in Crisis,94
267,Person in Crisis,162
268,Suicide-related,79
269,Person in Crisis,62
270,Suicide-related,6
271,Person in Crisis,5
272,Suicide-related,70
273,Overdose,7
274,Person in Crisis,136
275,Person in Crisis,8
276,Person in Crisis,164
277,Person in Crisis,78
278,Person in Crisis,125
279,Person in Crisis,163
280,Suicide-related,98
281,Suicide-related,84
282,Person in Crisis,170
283,Suicide-related,5
284,Suicide-related,10
285,Suicide-related,167
286,Suicide-related,78
287,Overdose,31
288,Person in Crisis,119
289,Suicide-related,6
290,Person in Crisis,168
291,Suicide-related,42
292,Person in Crisis,139
293,Suicide-related,81
294,Suicide-related,96
295,Suicide-related,136
296,Suicide-related,85
297,Suicide-related,5
298,Person in Crisis,78
299,Person in Crisis,122
300,Person in Crisis,44
301,Person in Crisis,65
302,Person in Crisis,168
303,Suicide-related,87
304,Suicide-related,155
305,Person in Crisis,170
306,Person in Crisis,118
307,Suicide-related,146
308,Suicide-related,73
309,Suicide-related,109
310,Person in Crisis,106
311,Person in Crisis,89
312,Suicide-related,107
313,Suicide-related,79
314,Person in Crisis,79
315,Overdose,124
316,Person in Crisis,107
317,Person in Crisis,159
318,Person in Crisis,73
319,Person in Crisis,61
320,Suicide-related,74
321,Suicide-related,95
322,Suicide-related,35
323,Suicide-related,135
324,Person in Crisis,61
325,Person in Crisis,158
326,Suicide-related,70
327,Person in Crisis,169
328,Person in Crisis,124
329,Suicide-related,87
330,Suicide-related,135
331,Person in Crisis,170
332,Person in Crisis,78
333,Person in Crisis,130
334,Person in Crisis,35
335,Person in Crisis,90
336,Person in Crisis,25
337,Person in Crisis,1
338,Suicide-related,105
339,Person in Crisis,129
340,Person in Crisis,168
341,Person in Crisis,102
342,Suicide-related,81
343,Suicide-related,24
344,Person in Crisis,95
345,Person in Crisis,44
346,Suicide-related,95
347,Person in Crisis,168
348,Person in Crisis,123
349,Person in Crisis,68
350,Person in Crisis,164
351,Person in Crisis,108
352,Person in Crisis,170
353,Person in Crisis,148
354,Person in Crisis,84
355,Person in Crisis,73
356,Person in Crisis,81
357,Person in Crisis,162
358,Person in Crisis,70
359,Person in Crisis,90
360,Person in Crisis,141
361,Person in Crisis,162
362,Person in Crisis,62
363,Suicide-related,65
364,Person in Crisis,173
365,Suicide-related,147
366,Suicide-related,47
367,Person in Crisis,57
368,Suicide-related,63
369,Overdose,39
370,Person in Crisis,88
371,Suicide-related,125
372,Suicide-related,73
373,Suicide-related,81
374,Person in Crisis,2
375,Person in Crisis,162
376,Person in Crisis,155
377,Suicide-related,110
378,Overdose,13
379,Person in Crisis,70
380,Person in Crisis,85
381,Suicide-related,158
382,Person in Crisis,79
383,Person in Crisis,124
384,Suicide-related,59
385,Suicide-related,39
386,Suicide-related,68
387,Person in Crisis,65
388,Person in Crisis,2
389,Suicide-related,128
390,Person in Crisis,128
391,Suicide-related,85
392,Suicide-related,159
393,Person in Crisis,160
394,Suicide-related,33
395,Person in Crisis,136
396,Person in Crisis,78
397,Person in Crisis,70
398,Person in Crisis,103
399,Suicide-related,70
400,Suicide-related,71
401,Suicide-related,68
402,Suicide-related,120
403,Person in Crisis,161
404,Person in Crisis,73
405,Person in Crisis,166
406,Person in Crisis,92
407,Person in Crisis,47
408,Person in Crisis,46
409,Suicide-related,111
410,Person in Crisis,1
411,Person in Crisis,47
412,Suicide-related,78
413,Person in Crisis,1
414,Person in Crisis,5
415,Suicide-related,158
416,Person in Crisis,136
417,Person in Crisis,95
418,Suicide-related,85
419,Person in Crisis,95
420,Person in Crisis,172
421,Person in Crisis,171
422,Person in Crisis,2
423,Suicide-related,62
424,Person in Crisis,168
425,Person in Crisis,78
426,Suicide-related,168
427,Suicide-related,90
428,Person in Crisis,39
429,Suicide-related,43
430,Suicide-related,88
431,Person in Crisis,129
432,Person in Crisis,170
433,Person in Crisis,63
434,Suicide-related,43
435,Person in Crisis,68
436,Suicide-related,39
437,Suicide-related,64
438,Suicide-related,78
439,Person in Crisis,25
440,Overdose,159
441,Suicide-related,48
442,Person in Crisis,164
443,Person in Crisis,170
444,Person in Crisis,105
445,Suicide-related,41
446,Suicide-related,166
447,Suicide-related,170
448,Person in Crisis,47
449,Person in Crisis,122
450,Person in Crisis,78
451,Person in Crisis,170
452,Person in Crisis,85
453,Person in Crisis,16
454,Person in Crisis,83
455,Suicide-related,159
456,Overdose,135
457,Person in Crisis,32
458,Suicide-related,71
459,Suicide-related,174
460,Suicide-related,34
461,Person in Crisis,27
462,Suicide-related,106
463,Person in Crisis,85
464,Person in Crisis,25
465,Person in Crisis,148
466,Person in Crisis,73
467,Person in Crisis,32
468,Person in Crisis,86
469,Suicide-related,53
470,Suicide-related,168
471,Person in Crisis,166
472,Person in Crisis,62
473,Person in Crisis,98
474,Suicide-related,124
475,Person in Crisis,148
476,Person in Crisis,2
477,Person in Crisis,156
478,Person in Crisis,159
479,Person in Crisis,85
480,Suicide-related,124
481,Suicide-related,95
482,Person in Crisis,85
483,Person in Crisis,136
484,Suicide-related,164
485,Person in Crisis,1
486,Overdose,16
487,Person in Crisis,123
488,Person in Crisis,138
489,Person in Crisis,118
490,Suicide-related,168
491,Person in Crisis,156
492,Person in Crisis,90
493,Person in Crisis,128
494,Suicide-related,24
495,Person in Crisis,108
496,Person in Crisis,159
497,Person in Crisis,170
498,Person in Crisis,115
499,Person in Crisis,71
500,Suicide-related,166
501,Person in Crisis,155
502,Person in Crisis,118
503,Person in Crisis,2
504,Person in Crisis,70
505,Person in Crisis,125
506,Suicide-related,38
507,Person in Crisis,164
508,Suicide-related,170
509,Suicide-related,59
510,Person in Crisis,100
511,Person in Crisis,46
512,Person in Crisis,169
513,Suicide-related,129
514,Person in Crisis,170
515,Person in Crisis,141
516,Person in Crisis,90
517,Suicide-related,120
518,Person in Crisis,168
519,Suicide-related,150
520,Suicide-related,168
521,Suicide-related,81
522,Person in Crisis,7
523,Person in Crisis,31
524,Person in Crisis,73
525,Suicide-related,74
526,Person in Crisis,3
527,Person in Crisis,65
528,Person in Crisis,126
529,Person in Crisis,124
530,Person in Crisis,172
531,Person in Crisis,73
532,Person in Crisis,58
533,Person in Crisis,73
534,Person in Crisis,73
535,Suicide-related,158
536,Suicide-related,67
537,Person in Crisis,123
538,Person in Crisis,48
539,Person in Crisis,78
540,Person in Crisis,140
541,Person in Crisis,73
542,Person in Crisis,123
543,Person in Crisis,159
544,Person in Crisis,125
545,Person in Crisis,68
546,Suicide-related,124
547,Overdose,31
548,Person in Crisis,166
549,Person in Crisis,36
550,Person in Crisis,107
551,Suicide-related,87
552,Person in Crisis,161
553,Person in Crisis,73
554,Suicide-related,66
555,Person in Crisis,130
556,Overdose,167
557,Person in Crisis,2
558,Person in Crisis,169
559,Suicide-related,3
560,Person in Crisis,1
561,Suicide-related,33
562,Overdose,164
563,Person in Crisis,53
564,Person in Crisis,25
565,Suicide-related,7
566,Suicide-related,143
567,Person in Crisis,32
568,Person in Crisis,47
569,Suicide-related,170
570,Suicide-related,61
571,Person in Crisis,171
572,Person in Crisis,170
573,Suicide-related,141
574,Suicide-related,100
575,Suicide-related,80
576,Person in Crisis,135
577,Overdose,154
578,Person in Crisis,90
579,Suicide-related,25
580,Person in Crisis,99
581,Suicide-related,79
582,Suicide-related,16
583,Suicide-related,83
584,Person in Crisis,39
585,Person in Crisis,107
586,Overdose,27
587,Suicide-related,65
588,Person in Crisis,168
589,Person in Crisis,166
590,Suicide-related,130
591,Suicide-related,119
592,Person in Crisis,73
593,Person in Crisis,128
594,Overdose,44
595,Person in Crisis,88
596,Suicide-related,142
597,Person in Crisis,69
598,Overdose,78
599,Person in Crisis,73
600,Suicide-related,81
601,Person in Crisis,149
602,Suicide-related,52
603,Person in Crisis,3
604,Person in Crisis,32
605,Suicide-related,20
606,Person in Crisis,139
607,Person in Crisis,36
608,Person in Crisis,162
609,Person in Crisis,37
610,Suicide-related,95
611,Suicide-related,109
612,Person in Crisis,70
613,Overdose,30
614,Person in Crisis,2
615,Overdose,64
616,Person in Crisis,168
617,Suicide-related,124
618,Person in Crisis,111
619,Person in Crisis,25
620,Suicide-related,145
621,Overdose,87
622,Suicide-related,159
623,Person in Crisis,21
624,Person in Crisis,85
625,Person in Crisis,57
626,Overdose,48
627,Overdose,144
628,Overdose,149
629,Suicide-related,68
630,Person in Crisis,63
631,Person in Crisis,65
632,Suicide-related,95
633,Person in Crisis,170
634,Person in Crisis,95
635,Person in Crisis,36
636,Person in Crisis,170
637,Suicide-related,29
638,Person in Crisis,25
639,Suicide-related,54
640,Suicide-related,37
641,Suicide-related,141
642,Person in Crisis,136
643,Person in Crisis,139
644,Suicide-related,42
645,Suicide-related,79
646,Person in Crisis,170
647,Suicide-related,155
648,Suicide-related,166
649,Person in Crisis,151
650,Suicide-related,142
651,Person in Crisis,138
652,Person in Crisis,154
653,Suicide-related,167
654,Person in Crisis,112
655,Overdose,47
656,Person in Crisis,63
657,Person in Crisis,119
658,Person in Crisis,167
659,Person in Crisis,85
660,Person in Crisis,162
661,Person in Crisis,111
662,Overdose,55
663,Suicide-related,123
664,Person in Crisis,107
665,Person in Crisis,170
666,Suicide-related,30
667,Suicide-related,100
668,Person in Crisis,85
669,Suicide-related,78
670,Person in Crisis,112
671,Overdose,160
672,Suicide-related,8
673,Suicide-related,138
674,Person in Crisis,161
675,Person in Crisis,143
676,Person in Crisis,107
677,Person in Crisis,85
678,Person in Crisis,49
679,Suicide-related,105
680,Suicide-related,90
681,Person in Crisis,159
682,Person in Crisis,110
683,Person in Crisis,96
684,Person in Crisis,32
685,Person in Crisis,111
686,Suicide-related,143
687,Person in Crisis,52
688,Suicide-related,25
689,Person in Crisis,136
691,Person in Crisis,170
692,Person in Crisis,78
693,Overdose,31
694,Person in Crisis,52
695,Suicide-related,83
696,Suicide-related,24
697,Person in Crisis,84
698,Suicide-related,73
699,Person in Crisis,170
700,Suicide-related,160
701,Suicide-related,95
702,Person in Crisis,78
703,Suicide-related,156
704,Person in Crisis,68
705,Person in Crisis,81
706,Person in Crisis,25
707,Person in Crisis,78
708,Suicide-related,174
709,Overdose,68
710,Suicide-related,174
711,Person in Crisis,112
712,Overdose,112
713,Person in Crisis,38
714,Overdose,121
715,Person in Crisis,156
716,Suicide-related,165
717,Person in Crisis,146
718,Person in Crisis,135
719,Person in Crisis,171
720,Suicide-related,52
721,Person in Crisis,162
722,Person in Crisis,78
723,Person in Crisis,98
724,Person in Crisis,163
725,Suicide-related,107
726,Suicide-related,168
727,Person in Crisis,6
728,Overdose,47
729,Suicide-related,74
730,Suicide-related,150
731,Person in Crisis,146
732,Person in Crisis,170
733,Suicide-related,31
734,Suicide-related,160
735,Suicide-related,6
736,Person in Crisis,73
737,Suicide-related,1
738,Person in Crisis,111
739,Overdose,68
740,Person in Crisis,29
741,Overdose,61
742,Overdose,165
743,Person in Crisis,78
744,Person in Crisis,162
745,Person in Crisis,38
746,Suicide-related,95
747,Suicide-related,155
748,Person in Crisis,79
749,Overdose,115
750,Person in Crisis,168
751,Suicide-related,44
752,Person in Crisis,170
753,Person in Crisis,73
754,Person in Crisis,63
755,Suicide-related,112
756,Person in Crisis,171
757,Person in Crisis,73
758,Suicide-related,54
759,Person in Crisis,73
760,Person in Crisis,110
761,Suicide-related,56
762,Person in Crisis,136
763,Person in Crisis,72
764,Person in Crisis,170
765,Suicide-related,90
766,Person in Crisis,149
767,Suicide-related,172
768,Person in Crisis,47
769,Suicide-related,156
770,Suicide-related,174
771,Person in Crisis,94
772,Person in Crisis,68
773,Person in Crisis,162
774,Suicide-related,31
775,Person in Crisis,35
776,Person in Crisis,54
777,Person in Crisis,135
778,Suicide-related,43
779,Person in Crisis,21
780,Person in Crisis,121
781,Suicide-related,154
782,Person in Crisis,136
783,Person in Crisis,168
784,Suicide-related,39
785,Suicide-related,94
786,Person in Crisis,167
787,Suicide-related,106
788,Person in Crisis,38
789,Person in Crisis,163
790,Person in Crisis,68
791,Person in Crisis,78
792,Person in Crisis,92
793,Person in Crisis,68
794,Person in Crisis,162
795,Suicide-related,90
796,Person in Crisis,85
797,Suicide-related,162
798,Person in Crisis,87
799,Person in Crisis,146
800,Person in Crisis,81
801,Suicide-related,141
802,Person in Crisis,30
803,Person in Crisis,113
804,Suicide-related,70
805,Suicide-related,145
806,Person in Crisis,121
807,Overdose,90
808,Person in Crisis,48
809,Suicide-related,59
810,Person in Crisis,88
811,Person in Crisis,92
812,Person in Crisis,130
813,Suicide-related,61
814,Person in Crisis,85
815,Person in Crisis,152
816,Person in Crisis,23
817,Suicide-related,166
818,Person in Crisis,71
819,Suicide-related,39
820,Person in Crisis,32
821,Person in Crisis,73
822,Overdose,87
823,Suicide-related,74
824,Suicide-related,124
825,Suicide-related,106
826,Person in Crisis,162
827,Suicide-related,164
828,Suicide-related,73
829,Suicide-related,138
830,Person in Crisis,113
831,Person in Crisis,2
832,Suicide-related,68
833,Person in Crisis,11
834,Person in Crisis,164
835,Person in Crisis,11
836,Suicide-related,95
837,Person in Crisis,168
838,Person in Crisis,44
839,Suicide-related,159
840,Person in Crisis,43
841,Overdose,147
842,Person in Crisis,89
843,Suicide-related,1
844,Suicide-related,170
845,Suicide-related,123
846,Person in Crisis,46
847,Person in Crisis,62
848,Person in Crisis,135
849,Person in Crisis,73
850,Person in Crisis,170
851,Person in Crisis,35
852,Person in Crisis,65
853,Person in Crisis,170
854,Person in Crisis,13
855,Person in Crisis,73
856,Person in Crisis,162
857,Person in Crisis,25
858,Person in Crisis,162
859,Person in Crisis,90
860,Suicide-related,146
861,Suicide-related,170
862,Suicide-related,168
863,Person in Crisis,68
864,Suicide-related,171
865,Person in Crisis,68
866,Suicide-related,70
867,Person in Crisis,83
868,Person in Crisis,103
869,Suicide-related,113
870,Person in Crisis,87
871,Person in Crisis,54
872,Overdose,141
873,Person in Crisis,163
874,Person in Crisis,84
875,Person in Crisis,52
876,Person in Crisis,136
877,Person in Crisis,73
878,Suicide-related,174
879,Suicide-related,74
880,Person in Crisis,61
881,Overdose,63
882,Person in Crisis,163
883,Suicide-related,139
884,Person in Crisis,126
885,Person in Crisis,121
886,Person in Crisis,170
887,Person in Crisis,91
888,Overdose,19
889,Person in Crisis,31
890,Suicide-related,160
891,Person in Crisis,91
892,Person in Crisis,37
893,Person in Crisis,99
894,Overdose,44
895,Person in Crisis,68
896,Person in Crisis,162
897,Person in Crisis,54
898,Suicide-related,79
899,Person in Crisis,139
900,Suicide-related,98
901,Suicide-related,124
902,Person in Crisis,156
903,Person in Crisis,135
904,Suicide-related,92
905,Person in Crisis,164
906,Person in Crisis,73
907,Person in Crisis,39
908,Person in Crisis,112
909,Person in Crisis,162
910,Person in Crisis,98
911,Overdose,170
912,Person in Crisis,111
913,Suicide-related,156
914,Person in Crisis,78
915,Person in Crisis,58
916,Person in Crisis,95
917,Suicide-related,27
918,Person in Crisis,57
919,Person in Crisis,135
920,Suicide-related,100
921,Suicide-related,124
922,Person in Crisis,27
923,Person in Crisis,65
924,Suicide-related,18
925,Overdose,73
926,Suicide-related,16
927,Person in Crisis,81
928,Person in Crisis,72
929,Person in Crisis,27
930,Person in Crisis,78
931,Person in Crisis,109
932,Overdose,78
933,Suicide-related,90
934,Person in Crisis,167
935,Person in Crisis,27
936,Overdose,80
937,Overdose,1
938,Person in Crisis,85
939,Person in Crisis,27
940,Overdose,68
941,Person in Crisis,90
942,Suicide-related,163
943,Person in Crisis,148
944,Person in Crisis,79
945,Suicide-related,166
946,Person in Crisis,78
947,Person in Crisis,108
948,Person in Crisis,166
949,Suicide-related,151
950,Suicide-related,27
951,Person in Crisis,168
952,Suicide-related,85
953,Person in Crisis,85
954,Overdose,95
955,Suicide-related,87
956,Person in Crisis,5
957,Suicide-related,66
958,Person in Crisis,12
959,Person in Crisis,124
960,Person in Crisis,90
961,Overdose,135
962,Suicide-related,2
963,Person in Crisis,87
964,Person in Crisis,155
965,Person in Crisis,47
966,Person in Crisis,83
967,Person in Crisis,25
968,Suicide-related,70
969,Person in Crisis,81
970,Overdose,139
971,Person in Crisis,83
972,Person in Crisis,78
973,Person in Crisis,30
974,Person in Crisis,115
975,Person in Crisis,90
976,Overdose,41
977,Suicide-related,30
978,Person in Crisis,95
979,Person in Crisis,16
980,Overdose,165
981,Suicide-related,141
982,Suicide-related,102
983,Suicide-related,95
984,Suicide-related,172
985,Person in Crisis,167
986,Suicide-related,169
987,Person in Crisis,90
988,Person in Crisis,170
989,Suicide-related,2
990,Person in Crisis,65
991,Person in Crisis,65
992,Person in Crisis,2
993,Suicide-related,19
994,Suicide-related,40
995,Person in Crisis,94
996,Person in Crisis,162
997,Person in Crisis,124
998,Suicide-related,95
999,Suicide-related,162
1000,Suicide-related,54
1001,Person in Crisis,62
1002,Person in Crisis,90
1003,Person in Crisis,158
1004,Person in Crisis,95
1005,Person in Crisis,32
1006,Person in Crisis,18
1007,Person in Crisis,79
1008,Person in Crisis,61
1009,Person in Crisis,99
1010,Person in Crisis,12
1011,Person in Crisis,2
1012,Suicide-related,140
1013,Person in Crisis,39
1014,Person in Crisis,78
1015,Person in Crisis,78
1016,Suicide-related,27
1017,Person in Crisis,108
1018,Person in Crisis,124
1019,Person in Crisis,154
1020,Person in Crisis,101
1021,Suicide-related,72
1022,Suicide-related,70
1023,Person in Crisis,162
1024,Person in Crisis,90
1025,Suicide-related,2
1026,Person in Crisis,78
1027,Person in Crisis,142
1028,Suicide-related,123
1029,Person in Crisis,73
1030,Suicide-related,168
1031,Person in Crisis,111
1032,Person in Crisis,63
1033,Suicide-related,170
1034,Person in Crisis,121
1035,Person in Crisis,78
1036,Person in Crisis,87
1037,Person in Crisis,100
1038,Suicide-related,164
1039,Person in Crisis,32
1040,Overdose,145
1041,Suicide-related,170
1042,Person in Crisis,1
1043,Person in Crisis,120
1044,Person in Crisis,65
1045,Suicide-related,38
1046,Suicide-related,19
1047,Person in Crisis,135
1048,Person in Crisis,63
1049,Person in Crisis,16
1050,Suicide-related,158
1051,Overdose,85
1052,Person in Crisis,135
1053,Person in Crisis,99
1054,Suicide-related,84
1055,Suicide-related,30
1056,Person in Crisis,113
1057,Person in Crisis,90
1058,Person in Crisis,139
1059,Person in Crisis,47
1060,Overdose,84
1061,Suicide-related,78
1062,Person in Crisis,85
1063,Suicide-related,87
1064,Suicide-related,159
1065,Overdose,20
1066,Person in Crisis,73
1067,Person in Crisis,166
1068,Person in Crisis,123
1069,Suicide-related,96
1070,Person in Crisis,141
1071,Overdose,78
1072,Suicide-related,119
1073,Person in Crisis,170
1074,Person in Crisis,63
1075,Suicide-related,20
1076,Person in Crisis,57
1077,Person in Crisis,27
1078,Person in Crisis,54
1079,Person in Crisis,160
1080,Overdose,169
1081,Suicide-related,98
1082,Person in Crisis,158
1083,Overdose,124
1084,Person in Crisis,159
1085,Person in Crisis,111
1086,Person in Crisis,118
1087,Suicide-related,110
1088,Person in Crisis,73
1089,Suicide-related,63
1090,Person in Crisis,85
1091,Suicide-related,163
1092,Suicide-related,163
1093,Person in Crisis,157
1095,Person in Crisis,85
1096,Person in Crisis,136
1097,Suicide-related,143
1098,Overdose,165
1099,Person in Crisis,73
1100,Overdose,106
1101,Suicide-related,121
1102,Person in Crisis,73
1103,Person in Crisis,171
1104,Suicide-related,69
1105,Person in Crisis,110
1106,Person in Crisis,171
1107,Suicide-related,166
1108,Person in Crisis,78
1109,Person in Crisis,167
1110,Suicide-related,122
1111,Suicide-related,158
1112,Overdose,20
1113,Person in Crisis,79
1114,Person in Crisis,106
1115,Person in Crisis,100
1116,Person in Crisis,81
1117,Suicide-related,159
1118,Suicide-related,85
1119,Person in Crisis,170
1120,Person in Crisis,111
1121,Person in Crisis,83
1122,Person in Crisis,63
1123,Person in Crisis,107
1124,Suicide-related,25
1125,Person in Crisis,135
1126,Suicide-related,21
1127,Person in Crisis,16
1128,Suicide-related,168
1129,Person in Crisis,88
1130,Suicide-related,83
1131,Suicide-related,166
1132,Person in Crisis,30
1133,Person in Crisis,113
1134,Person in Crisis,162
1135,Person in Crisis,80
1136,Person in Crisis,95
1137,Person in Crisis,88
1138,Person in Crisis,125
1139,Suicide-related,174
1140,Person in Crisis,73
1141,Person in Crisis,136
1142,Overdose,70
1143,Suicide-related,87
1144,Suicide-related,167
1145,Person in Crisis,125
1146,Person in Crisis,78
1147,Overdose,1
1148,Person in Crisis,69
1149,Person in Crisis,170
1150,Person in Crisis,170
1151,Suicide-related,42
1152,Person in Crisis,86
1153,Suicide-related,154
1154,Suicide-related,124
1155,Person in Crisis,154
1156,Person in Crisis,70
1157,Suicide-related,80
1158,Person in Crisis,74
1159,Suicide-related,168
1160,Person in Crisis,80
1161,Suicide-related,43
1162,Person in Crisis,78
1163,Suicide-related,110
1164,Overdose,78
1165,Person in Crisis,162
1166,Suicide-related,1
1167,Suicide-related,99
1168,Person in Crisis,63
1169,Person in Crisis,135
1170,Person in Crisis,87
1171,Suicide-related,171
1172,Person in Crisis,106
1173,Person in Crisis,124
1174,Person in Crisis,95
1175,Person in Crisis,83
1176,Person in Crisis,81
1177,Person in Crisis,53
1178,Person in Crisis,90
1179,Person in Crisis,7
1180,Person in Crisis,120
1181,Overdose,38
1182,Person in Crisis,170
1183,Person in Crisis,166
1184,Person in Crisis,107
1185,Person in Crisis,85
1186,Person in Crisis,61
1187,Person in Crisis,171
1188,Suicide-related,21
1189,Person in Crisis,102
1190,Person in Crisis,115
1191,Person in Crisis,170
1192,Overdose,27
1193,Person in Crisis,111
1194,Suicide-related,156
1195,Person in Crisis,70
1196,Overdose,79
1197,Overdose,27
1198,Person in Crisis,154
1199,Suicide-related,59
1200,Suicide-related,24
1201,Person in Crisis,168
1202,Person in Crisis,113
1203,Suicide-related,73
1204,Person in Crisis,90
