_id,OBJECTID,EVENT_ID,EVENT_DATE,EVENT_YEAR,EVENT_MONTH,EVENT_DOW,EVENT_HOUR,EVENT_TYPE,DIVISION,OCCURRENCE_CREATED,APPREHENSION_MADE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140
45,45,1256321,NA,2014,January,Wednesday,16,Person in Crisis,D23,Yes,Yes,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2)
46,46,1255558,NA,2014,January,Wednesday,12,Person in Crisis,D51,No,No,74,North St.James Town,74,North St.James Town (74)
47,47,1255246,NA,2014,January,Wednesday,11,Suicide-related,D13,Yes,Yes,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93)
48,48,1254536,NA,2014,January,Wednesday,6,Overdose,D14,No,No,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81)
49,49,1254168,NA,2014,January,Wednesday,4,Suicide-related,D51,No,No,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71)
50,50,1253724,NA,2014,January,Wednesday,2,Suicide-related,D43,No,No,135,Morningside,135,Morningside (135)
51,51,1253239,NA,2014,January,Wednesday,1,Suicide-related,D51,Yes,Yes,73,Moss Park,73,Moss Park (73)
52,52,1262678,NA,2014,January,Thursday,18,Overdose,D32,Yes,Yes,38,Lansing-Westgate,38,Lansing-Westgate (38)
53,53,1260872,NA,2014,January,Thursday,13,Person in Crisis,D51,No,No,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77)
54,54,1262993,NA,2014,January,Thursday,19,Overdose,D12,Yes,No,111,Rockcliffe-Smythe,111,Rockcliffe-Smythe (111)
55,55,1258409,NA,2014,January,Thursday,2,Person in Crisis,D42,No,No,129,Agincourt North,129,Agincourt North (129)
56,56,1258570,NA,2014,January,Thursday,3,Person in Crisis,D42,No,No,116,Steeles,116,Steeles (116)
57,57,1262965,NA,2014,January,Thursday,19,Suicide-related,D11,No,No,87,High Park-Swansea,87,High Park-Swansea (87)
58,58,1261115,NA,2014,January,Thursday,14,Suicide-related,D32,Yes,Yes,33,Clanton Park,33,Clanton Park (33)
59,59,1263994,NA,2014,January,Thursday,23,Person in Crisis,D31,No,No,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26)
60,60,1261063,NA,2014,January,Thursday,14,Person in Crisis,D32,No,No,50,Newtonbrook East,50,Newtonbrook East (50)
61,61,1262782,NA,2014,January,Thursday,19,Suicide-related,D41,No,No,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122)
62,62,1258203,NA,2014,January,Thursday,0,Person in Crisis,D22,Yes,Yes,20,Alderwood,20,Alderwood (20)
63,63,1262946,NA,2014,January,Thursday,19,Suicide-related,D41,No,No,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122)
64,64,1261729,NA,2014,January,Thursday,15,Person in Crisis,D14,Yes,Yes,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81)
65,65,1262391,NA,2014,January,Thursday,17,Person in Crisis,D53,Yes,Yes,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98)
66,66,1259370,NA,2014,January,Thursday,9,Person in Crisis,D51,No,No,170,Yonge-Bay Corridor,76,Bay Street Corridor (76)
67,67,1263210,NA,2014,January,Thursday,20,Person in Crisis,D41,No,No,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122)
68,68,1260647,NA,2014,January,Thursday,12,Suicide-related,D12,No,No,113,Weston,113,Weston (113)
69,69,1260580,NA,2014,January,Thursday,12,Person in Crisis,D14,Yes,Yes,78,Kensington-Chinatown,78,Kensington-Chinatown (78)
70,70,1263367,NA,2014,January,Thursday,21,Suicide-related,D52,Yes,Yes,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77)
71,71,1258149,NA,2014,January,Thursday,0,Person in Crisis,D55,No,No,63,The Beaches,63,The Beaches (63)
72,72,1262934,NA,2014,January,Thursday,19,Person in Crisis,D32,No,No,32,Englemount-Lawrence,32,Englemount-Lawrence (32)
73,73,1262033,NA,2014,January,Thursday,16,Suicide-related,D42,No,No,118,Tam O'Shanter-Sullivan,118,Tam O'Shanter-Sullivan (118)
74,74,1263038,NA,2014,January,Thursday,20,Suicide-related,D52,Yes,Yes,170,Yonge-Bay Corridor,76,Bay Street Corridor (76)
75,75,1263445,NA,2014,January,Thursday,21,Person in Crisis,D23,No,No,8,Humber Heights-Westmount,8,Humber Heights-Westmount (8)
76,76,1260816,NA,2014,January,Thursday,13,Person in Crisis,D43,Yes,No,123,Cliffcrest,123,Cliffcrest (123)
77,77,1258167,NA,2014,January,Thursday,0,Suicide-related,D41,Yes,No,61,Taylor-Massey,61,Taylor-Massey (61)
78,78,1259094,NA,2014,January,Thursday,8,Person in Crisis,D55,No,No,70,South Riverdale,70,South Riverdale (70)
79,79,1259824,NA,2014,January,Thursday,10,Person in Crisis,D14,No,No,85,South Parkdale,85,South Parkdale (85)
80,80,1258963,NA,2014,January,Thursday,7,Suicide-related,D41,Yes,Yes,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120)
81,81,1260262,NA,2014,January,Thursday,11,Person in Crisis,D11,Yes,Yes,85,South Parkdale,85,South Parkdale (85)
82,82,1260582,NA,2014,January,Thursday,12,Person in Crisis,D13,No,No,108,Briar Hill-Belgravia,108,Briar Hill-Belgravia (108)
83,83,1263968,NA,2014,January,Thursday,23,Suicide-related,D32,Yes,Yes,155,Downsview,26,Downsview-Roding-CFB (26)
84,84,1258567,NA,2014,January,Thursday,3,Person in Crisis,D51,No,No,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77)
85,85,1260932,NA,2014,January,Thursday,13,Suicide-related,D23,No,No,1,West Humber-Clairville,1,West Humber-Clairville (1)
86,86,1258363,NA,2014,January,Thursday,1,Person in Crisis,D54,No,No,68,North Riverdale,68,North Riverdale (68)
87,87,1261861,NA,2014,January,Thursday,16,Person in Crisis,D11,No,No,88,High Park North,88,High Park North (88)
88,88,1261887,NA,2014,January,Thursday,16,Overdose,D55,No,No,69,Blake-Jones,69,Blake-Jones (69)
89,89,1258426,NA,2014,January,Thursday,2,Person in Crisis,D41,No,No,126,Dorset Park,126,Dorset Park (126)
90,90,1263193,NA,2014,January,Thursday,20,Person in Crisis,D55,No,No,63,The Beaches,63,The Beaches (63)
91,91,1261342,NA,2014,January,Thursday,14,Suicide-related,D22,Yes,No,16,Stonegate-Queensway,16,Stonegate-Queensway (16)
92,92,1261124,NA,2014,January,Thursday,14,Person in Crisis,D52,No,No,170,Yonge-Bay Corridor,76,Bay Street Corridor (76)
93,93,1261079,NA,2014,January,Thursday,14,Overdose,D11,Yes,No,86,Roncesvalles,86,Roncesvalles (86)
94,94,1258533,NA,2014,January,Thursday,3,Person in Crisis,D52,No,No,169,Bay-Cloverhill,76,Bay Street Corridor (76)
95,95,1262887,NA,2014,January,Thursday,19,Person in Crisis,D41,Yes,Yes,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122)
96,96,1260683,NA,2014,January,Thursday,12,Suicide-related,D42,Yes,Yes,129,Agincourt North,129,Agincourt North (129)
97,97,1259924,NA,2014,January,Thursday,10,Suicide-related,D11,No,No,90,Junction Area,90,Junction Area (90)
98,98,1263618,NA,2014,January,Thursday,22,Suicide-related,D54,No,No,57,Broadview North,57,Broadview North (57)
99,99,1260428,NA,2014,January,Thursday,12,Person in Crisis,D41,Yes,Yes,126,Dorset Park,126,Dorset Park (126)
100,100,1262001,NA,2014,January,Thursday,16,Suicide-related,D22,Yes,Yes,16,Stonegate-Queensway,16,Stonegate-Queensway (16)
101,101,1262945,NA,2014,January,Thursday,19,Person in Crisis,D41,No,No,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122)
102,102,1265794,1388-07-25,2014,January,Friday,9,Person in Crisis,D12,Yes,Yes,89,Runnymede-Bloor West Village,89,Runnymede-Bloor West Village (89)
103,103,1268733,1388-07-25,2014,January,Friday,17,Person in Crisis,D51,No,No,169,Bay-Cloverhill,76,Bay Street Corridor (76)
104,104,1268946,1388-07-25,2014,January,Friday,18,Person in Crisis,D55,No,No,68,North Riverdale,68,North Riverdale (68)
105,105,1268887,1388-07-25,2014,January,Friday,18,Person in Crisis,D14,No,No,163,Fort York-Liberty Village,82,Niagara (82)
106,106,1269016,1388-07-25,2014,January,Friday,18,Suicide-related,D22,Yes,No,159,Etobicoke City Centre,14,Islington-City Centre West (14)
107,107,1269896,1388-07-25,2014,January,Friday,21,Person in Crisis,D42,No,No,129,Agincourt North,129,Agincourt North (129)
108,108,1266280,1388-07-25,2014,January,Friday,11,Suicide-related,D51,No,No,73,Moss Park,73,Moss Park (73)
109,109,1264781,1388-07-25,2014,January,Friday,5,Person in Crisis,D23,No,No,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2)
110,110,1269063,1388-07-25,2014,January,Friday,18,Suicide-related,D11,No,No,87,High Park-Swansea,87,High Park-Swansea (87)
111,111,1266470,1388-07-25,2014,January,Friday,11,Suicide-related,D51,No,No,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77)
112,112,1269105,1388-07-25,2014,January,Friday,18,Suicide-related,D11,Yes,No,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93)
113,113,1268699,1388-07-25,2014,January,Friday,17,Person in Crisis,D31,No,No,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26)
114,114,1266743,1388-07-25,2014,January,Friday,12,Person in Crisis,D14,No,No,83,Dufferin Grove,83,Dufferin Grove (83)
115,115,1266375,1388-07-25,2014,January,Friday,11,Suicide-related,D32,No,No,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39)
116,116,1270441,1388-07-25,2014,January,Friday,23,Person in Crisis,D41,No,No,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120)
117,117,1266606,1388-07-25,2014,January,Friday,12,Person in Crisis,D11,Yes,No,85,South Parkdale,85,South Parkdale (85)
118,118,1266396,1388-07-25,2014,January,Friday,11,Suicide-related,D14,No,No,80,Palmerston-Little Italy,80,Palmerston-Little Italy (80)
119,119,1266504,1388-07-25,2014,January,Friday,11,Suicide-related,D12,No,No,113,Weston,113,Weston (113)
120,120,1265907,1388-07-25,2014,January,Friday,9,Person in Crisis,D32,No,No,151,Yonge-Doris,51,Willowdale East (51)
121,121,1266525,1388-07-25,2014,January,Friday,11,Person in Crisis,D14,No,No,78,Kensington-Chinatown,78,Kensington-Chinatown (78)
122,122,1269035,1388-07-25,2014,January,Friday,18,Suicide-related,D51,No,No,170,Yonge-Bay Corridor,76,Bay Street Corridor (76)
123,123,1266877,1388-07-25,2014,January,Friday,12,Person in Crisis,D23,Yes,Yes,1,West Humber-Clairville,1,West Humber-Clairville (1)
124,124,1264552,1388-07-25,2014,January,Friday,3,Person in Crisis,D32,Yes,Yes,35,Westminster-Branson,35,Westminster-Branson (35)
125,125,1270426,1388-07-25,2014,January,Friday,23,Suicide-related,D54,Yes,Yes,57,Broadview North,57,Broadview North (57)
126,126,1269950,1388-07-25,2014,January,Friday,21,Person in Crisis,D51,No,No,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71)
127,127,1265021,1388-07-25,2014,January,Friday,6,Person in Crisis,D31,No,No,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25)
128,128,1269755,1388-07-25,2014,January,Friday,21,Person in Crisis,D53,Yes,Yes,100,Yonge-Eglinton,100,Yonge-Eglinton (100)
129,129,1269883,1388-07-25,2014,January,Friday,21,Person in Crisis,D32,No,No,37,Willowdale West,37,Willowdale West (37)
130,130,1268227,1388-07-25,2014,January,Friday,16,Person in Crisis,D54,No,No,54,O'Connor-Parkview,54,O'Connor-Parkview (54)
131,131,1266527,1388-07-25,2014,January,Friday,11,Suicide-related,D53,No,No,174,South Eglinton-Davisville,104,Mount Pleasant West (104)
132,132,1266649,1388-07-25,2014,January,Friday,12,Person in Crisis,D14,No,No,85,South Parkdale,85,South Parkdale (85)
133,133,1269524,1388-07-25,2014,January,Friday,20,Suicide-related,D53,No,No,174,South Eglinton-Davisville,104,Mount Pleasant West (104)
134,134,1265243,1388-07-25,2014,January,Friday,7,Suicide-related,D43,No,No,136,West Hill,136,West Hill (136)
135,135,1268053,1388-07-25,2014,January,Friday,15,Person in Crisis,D53,Yes,Yes,99,Mount Pleasant East,99,Mount Pleasant East (99)
136,136,1266179,1388-07-25,2014,January,Friday,10,Person in Crisis,D12,No,No,30,Brookhaven-Amesbury,30,Brookhaven-Amesbury (30)
137,137,1268693,1388-07-25,2014,January,Friday,17,Person in Crisis,D14,Yes,Yes,164,Wellington Place,77,Waterfront Communities-The Island (77)
138,138,1270468,1388-07-25,2014,January,Friday,23,Person in Crisis,D55,Yes,Yes,70,South Riverdale,70,South Riverdale (70)
139,139,1266078,1388-07-25,2014,January,Friday,10,Person in Crisis,D32,Yes,No,36,Newtonbrook West,36,Newtonbrook West (36)
140,140,1269076,1388-07-25,2014,January,Friday,18,Person in Crisis,D23,No,No,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2)
141,141,1269368,1388-07-25,2014,January,Friday,19,Person in Crisis,D53,No,No,95,Annex,95,Annex (95)
142,142,1266651,1388-07-25,2014,January,Friday,12,Person in Crisis,D51,Yes,Yes,167,Church-Wellesley,75,Church-Yonge Corridor (75)
143,143,1269178,1388-07-25,2014,January,Friday,19,Suicide-related,D52,No,No,164,Wellington Place,77,Waterfront Communities-The Island (77)
144,144,1269440,1388-07-25,2014,January,Friday,19,Person in Crisis,D33,Yes,Yes,46,Pleasant View,46,Pleasant View (46)
145,145,1270481,1388-07-25,2014,January,Friday,23,Suicide-related,D23,No,No,1,West Humber-Clairville,1,West Humber-Clairville (1)
146,146,1275048,NA,2014,January,Saturday,18,Suicide-related,D51,No,No,74,North St.James Town,74,North St.James Town (74)
147,147,1273230,NA,2014,January,Saturday,12,Suicide-related,D14,Yes,No,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93)
148,148,1274725,NA,2014,January,Saturday,17,Suicide-related,D41,No,No,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122)
149,149,1272867,NA,2014,January,Saturday,11,Suicide-related,D42,Yes,Yes,118,Tam O'Shanter-Sullivan,118,Tam O'Shanter-Sullivan (118)
150,150,1274757,NA,2014,January,Saturday,17,Person in Crisis,D51,No,No,167,Church-Wellesley,75,Church-Yonge Corridor (75)
151,151,1271591,NA,2014,January,Saturday,5,Person in Crisis,D11,No,No,88,High Park North,88,High Park North (88)
152,152,1275131,NA,2014,January,Saturday,18,Person in Crisis,D22,Yes,Yes,159,Etobicoke City Centre,14,Islington-City Centre West (14)
153,153,1275176,NA,2014,January,Saturday,18,Suicide-related,D33,No,No,53,Henry Farm,53,Henry Farm (53)
154,154,1274860,NA,2014,January,Saturday,17,Person in Crisis,D51,No,No,73,Moss Park,73,Moss Park (73)
155,155,1273972,NA,2014,January,Saturday,14,Person in Crisis,D11,No,No,84,Little Portugal,84,Little Portugal (84)
156,156,1271103,NA,2014,January,Saturday,1,Person in Crisis,D52,Yes,Yes,170,Yonge-Bay Corridor,76,Bay Street Corridor (76)
157,157,1271211,NA,2014,January,Saturday,2,Suicide-related,D52,Yes,Yes,170,Yonge-Bay Corridor,76,Bay Street Corridor (76)
158,158,1275897,NA,2014,January,Saturday,21,Person in Crisis,D51,No,No,73,Moss Park,73,Moss Park (73)
159,159,1273308,NA,2014,January,Saturday,13,Person in Crisis,D51,Yes,Yes,73,Moss Park,73,Moss Park (73)
160,160,1275686,NA,2014,January,Saturday,20,Person in Crisis,D54,No,No,68,North Riverdale,68,North Riverdale (68)
161,161,1270962,NA,2014,January,Saturday,1,Suicide-related,D31,No,No,27,York University Heights,27,York University Heights (27)
162,162,1271145,NA,2014,January,Saturday,2,Person in Crisis,D52,Yes,Yes,170,Yonge-Bay Corridor,76,Bay Street Corridor (76)
163,163,1275196,NA,2014,January,Saturday,18,Person in Crisis,D53,No,No,97,Yonge-St.Clair,97,Yonge-St.Clair (97)
164,164,1271331,NA,2014,January,Saturday,3,Suicide-related,D53,No,No,174,South Eglinton-Davisville,104,Mount Pleasant West (104)
165,165,1274762,NA,2014,January,Saturday,17,Person in Crisis,D55,Yes,Yes,64,Woodbine Corridor,64,Woodbine Corridor (64)
166,166,1275284,NA,2014,January,Saturday,19,Suicide-related,D52,Yes,No,170,Yonge-Bay Corridor,76,Bay Street Corridor (76)
167,167,1272883,NA,2014,January,Saturday,11,Suicide-related,D33,No,No,43,Victoria Village,43,Victoria Village (43)
168,168,1273960,NA,2014,January,Saturday,14,Person in Crisis,D41,No,No,121,Oakridge,121,Oakridge (121)
169,169,1270901,NA,2014,January,Saturday,1,Person in Crisis,D33,No,No,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40)
170,170,1274755,NA,2014,January,Saturday,17,Person in Crisis,D41,No,No,62,East End-Danforth,62,East End-Danforth (62)
171,171,1274952,NA,2014,January,Saturday,18,Person in Crisis,D53,Yes,Yes,167,Church-Wellesley,75,Church-Yonge Corridor (75)
172,172,1271086,NA,2014,January,Saturday,1,Person in Crisis,D11,No,No,88,High Park North,88,High Park North (88)
173,173,1272614,NA,2014,January,Saturday,10,Suicide-related,D43,Yes,Yes,140,Guildwood,140,Guildwood (140)
174,174,1273837,NA,2014,January,Saturday,14,Person in Crisis,D43,Yes,No,139,Scarborough Village,139,Scarborough Village (139)
175,175,1273159,NA,2014,January,Saturday,12,Overdose,D43,Yes,Yes,139,Scarborough Village,139,Scarborough Village (139)
176,176,1275265,NA,2014,January,Saturday,19,Person in Crisis,D23,No,No,8,Humber Heights-Westmount,8,Humber Heights-Westmount (8)
177,177,1270668,NA,2014,January,Saturday,0,Person in Crisis,D51,No,No,74,North St.James Town,74,North St.James Town (74)
178,178,1270767,NA,2014,January,Saturday,0,Person in Crisis,D32,No,No,35,Westminster-Branson,35,Westminster-Branson (35)
179,179,1274951,NA,2014,January,Saturday,18,Person in Crisis,D22,Yes,Yes,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17)
180,180,1276364,NA,2014,January,Saturday,22,Person in Crisis,D43,No,No,135,Morningside,135,Morningside (135)
181,181,1274859,NA,2014,January,Saturday,17,Suicide-related,D11,No,No,89,Runnymede-Bloor West Village,89,Runnymede-Bloor West Village (89)
182,182,1271195,NA,2014,January,Saturday,2,Person in Crisis,D41,No,No,124,Kennedy Park,124,Kennedy Park (124)
183,183,1273575,NA,2014,January,Saturday,13,Suicide-related,D31,No,No,22,Humbermede,22,Humbermede (22)
184,184,1275993,NA,2014,January,Saturday,21,Person in Crisis,D33,No,No,43,Victoria Village,43,Victoria Village (43)
185,185,1276135,NA,2014,January,Saturday,22,Suicide-related,D32,No,No,155,Downsview,26,Downsview-Roding-CFB (26)
186,186,1275123,NA,2014,January,Saturday,18,Person in Crisis,D14,Yes,Yes,85,South Parkdale,85,South Parkdale (85)
187,187,1271314,NA,2014,January,Saturday,3,Person in Crisis,D51,No,No,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71)
188,188,1271378,NA,2014,January,Saturday,3,Overdose,D33,No,No,53,Henry Farm,53,Henry Farm (53)
189,189,1276158,NA,2014,January,Saturday,22,Suicide-related,D43,Yes,Yes,134,Highland Creek,134,Highland Creek (134)
190,190,1274811,NA,2014,January,Saturday,17,Person in Crisis,D41,Yes,Yes,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122)
191,191,1274804,NA,2014,January,Saturday,17,Person in Crisis,D14,No,No,85,South Parkdale,85,South Parkdale (85)
192,192,1276295,NA,2014,January,Saturday,22,Person in Crisis,D41,No,No,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122)
193,193,1271121,NA,2014,January,Saturday,2,Person in Crisis,D54,No,No,59,Danforth East York,59,Danforth East York (59)
194,194,1279280,NA,2014,January,Sunday,13,Person in Crisis,D23,No,No,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5)
195,195,1279092,NA,2014,January,Sunday,13,Person in Crisis,D51,No,No,167,Church-Wellesley,75,Church-Yonge Corridor (75)
196,196,1280487,NA,2014,January,Sunday,17,Person in Crisis,D52,Yes,Yes,164,Wellington Place,77,Waterfront Communities-The Island (77)
197,197,1279055,NA,2014,January,Sunday,12,Person in Crisis,D31,No,No,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25)
198,198,1279566,NA,2014,January,Sunday,14,Overdose,D31,Yes,No,27,York University Heights,27,York University Heights (27)
199,199,1281667,NA,2014,January,Sunday,21,Person in Crisis,D22,No,No,11,Eringate-Centennial-West Deane,11,Eringate-Centennial-West Deane (11)
200,200,1281887,NA,2014,January,Sunday,22,Person in Crisis,D43,No,No,136,West Hill,136,West Hill (136)
201,201,1276995,NA,2014,January,Sunday,1,Suicide-related,D41,Yes,Yes,124,Kennedy Park,124,Kennedy Park (124)
202,202,1277745,NA,2014,January,Sunday,6,Suicide-related,D43,No,No,142,Woburn North,137,Woburn (137)
203,203,1281362,NA,2014,January,Sunday,20,Person in Crisis,D11,No,No,84,Little Portugal,84,Little Portugal (84)
204,204,1281593,NA,2014,January,Sunday,21,Person in Crisis,D52,No,No,164,Wellington Place,77,Waterfront Communities-The Island (77)
205,205,1278172,NA,2014,January,Sunday,9,Person in Crisis,D22,No,No,159,Etobicoke City Centre,14,Islington-City Centre West (14)
206,206,1280943,NA,2014,January,Sunday,19,Suicide-related,D11,Yes,No,90,Junction Area,90,Junction Area (90)
207,207,1278342,NA,2014,January,Sunday,10,Person in Crisis,D14,No,No,84,Little Portugal,84,Little Portugal (84)
208,208,1281845,NA,2014,January,Sunday,22,Suicide-related,D54,Yes,Yes,66,Danforth,66,Danforth (66)
209,209,1280681,NA,2014,January,Sunday,18,Person in Crisis,D11,No,No,85,South Parkdale,85,South Parkdale (85)
